,st_code,st_name,rev_period,rev,Year,month,mom,yoy,yoy年成長大於10,yoy成長,yoy衰退,yoy近五月大於10,yoy連續大於10,yoy近五月成長,yoy連續成長,yoy近五月衰退,yoy連續衰退
85,1101,台泥,* 2023/02,4947557.0,2023,02,-0.390820612743061,-0.0932,0,0,1,0.0,0,2.0,0,3.0,2
182,1102,亞泥,* 2023/02,3488744.0,2023,02,-0.5251533394963126,-0.1492,0,1,0,0.0,0,2.0,1,3.0,0
279,1103,嘉泥,* 2023/02,152973.0,2023,02,-0.14393880040740037,0.1411,0,0,1,0.0,0,3.0,0,2.0,2
376,1104,環泥,* 2023/02,448348.0,2023,02,-0.24822640332535753,0.2871,0,1,0,0.0,0,3.0,1,2.0,0
473,1108,幸福,* 2023/02,301904.0,2023,02,-0.18202261803482114,0.4333,0,1,0,0.0,0,2.0,1,3.0,0
570,1109,信大,* 2023/02,166206.0,2023,02,-0.7020543525025097,-0.085,0,1,0,0.0,0,2.0,1,3.0,0
667,1110,東泥,* 2023/02,110034.0,2023,02,-0.30933490672625474,0.1298,0,1,0,0.0,0,2.0,1,3.0,0
764,1201,味全,* 2023/02,1316444.0,2023,02,-0.15836514505313107,0.019,0,1,0,0.0,0,2.0,2,3.0,0
861,1203,味王,* 2023/02,492835.0,2023,02,-0.12852156260830816,0.0863,0,1,0,0.0,0,3.0,1,2.0,0
958,1210,大成,* 2023/02,7360186.0,2023,02,-0.24652774258762247,-0.0208,0,1,0,0.0,0,2.0,1,3.0,0
1055,1213,大飲,* 2023/02,31056.0,2023,02,-0.12871731567725284,0.2666,0,1,0,0.0,0,3.0,1,2.0,0
1151,1215,卜蜂,* 2023/02,2010830.0,2023,02,-0.20022988871477096,-0.0186,0,1,0,0.0,0,2.0,1,3.0,0
1248,1216,統一,* 2023/02,35772269.0,2023,02,-0.2627027060227226,0.0486,0,1,0,0.0,0,2.0,1,3.0,0
1345,1217,愛之味,* 2023/02,319267.0,2023,02,-0.2553191985631983,0.0204,0,1,0,0.0,0,3.0,1,2.0,0
