,代號,名稱,交易所主產業代碼,交易所子產業代碼,TEJ主產業代碼,TEJ子產業代碼,new_industry,minor_industry,industry_title
0,1101,台泥,M1100,M1100,11A,11A,水泥製造,,水泥製造類
1,1102,亞泥,M1100,M1100,11A,11A,水泥製造,,水泥製造類
2,1103,嘉泥,M1100,M1100,11A,11A,水泥製造,,水泥製造類
3,1104,環泥,M1100,M1100,11A,11A,水泥製造,,水泥製造類
4,1108,幸福,M1100,M1100,11A,11A,水泥製造,,水泥製造類
5,1109,信大,M1100,M1100,11A,11A,水泥製造,,水泥製造類
6,1110,東泥,M1100,M1100,11A,11A,水泥製造,,水泥製造類
7,1201,味全,M1200,M1200,12C,12C,飲料乳品,,飲料乳品類
8,1203,味王,M1200,M1200,12Z,12Z,其他食品,,其他食品類
9,1210,大成,M1200,M1200,12B,12B,油脂飼料,,油脂飼料類
10,1213,大飲,M1200,M1200,12C,12C,飲料乳品,,飲料乳品類
11,1215,卜蜂,M1200,M1200,12B,12B,油脂飼料,,油脂飼料類
12,1216,統一,M1200,M1200,12C,12C,飲料乳品,,飲料乳品類
13,1217,愛之味,M1200,M1200,12A,12A,罐頭加工,,罐頭加工類
14,1218,泰山,M1200,M1200,12B,12B,油脂飼料,,油脂飼料類
15,1219,福壽,M1200,M1200,12B,12B,油脂飼料,,油脂飼料類
16,1220,台榮,M1200,M1200,12B,12B,油脂飼料,,油脂飼料類
17,1225,福懋油,M1200,M1200,12B,12B,油脂飼料,,油脂飼料類
18,1227,佳格,M1200,M1200,12Z,12Z,其他食品,,其他食品類
19,1229,聯華,M1200,M1200,12B,12B,油脂飼料,,油脂飼料類
20,1231,聯華食,M1200,M1200,12Z,12Z,其他食品,,其他食品類
21,1232,大統益,M1200,M1200,12B,12B,油脂飼料,,油脂飼料類
22,1233,天仁,M1200,M1200,12Z,12Z,其他食品,,其他食品類
23,1234,黑松,M1200,M1200,12C,12C,飲料乳品,,飲料乳品類
24,1235,興泰,M1200,M1200,12B,12B,油脂飼料,,油脂飼料類
25,1236,宏亞,M1200,M1200,12Z,12Z,其他食品,,其他食品類
26,1240,茂生農經,M3300,M3300,12B,12B,油脂飼料,,油脂飼料類
27,1256,鮮活果汁-KY,M1200,M1200,12C,12C,飲料乳品,,飲料乳品類
28,1258,其祥-KY,M1200,M1200,12Z,12Z,其他食品,,其他食品類
29,1259,安心,M2700,M2700,27A,27A2,餐飲飯店,餐飲業,餐飲飯店:餐飲業類
30,1264,德麥,M1200,M1200,12Z,12Z,其他食品,,其他食品類
31,1268,漢來美食,M2700,M2700,27A,27A2,餐飲飯店,餐飲業,餐飲飯店:餐飲業類
32,1301,台塑,M1300,M1300,13A,13A1,石化,泛用塑膠,石化:泛用塑膠類
33,1303,南亞,M1300,M1300,13A,13A1,石化,泛用塑膠,石化:泛用塑膠類
34,1304,台聚,M1300,M1300,13A,13A1,石化,泛用塑膠,石化:泛用塑膠類
35,1305,華夏,M1300,M1300,13A,13A1,石化,泛用塑膠,石化:泛用塑膠類
36,1307,三芳,M1300,M1300,13A,13A6,石化,合成皮,石化:合成皮類
37,1308,亞聚,M1300,M1300,13A,13A1,石化,泛用塑膠,石化:泛用塑膠類
38,1309,台達化,M1300,M1300,13A,13A1,石化,泛用塑膠,石化:泛用塑膠類
39,1310,台苯,M1300,M1300,13A,13A1,石化,泛用塑膠,石化:泛用塑膠類
40,1312,國喬,M1300,M1300,13A,13A1,石化,泛用塑膠,石化:泛用塑膠類
41,1313,聯成,M1300,M1300,13A,13A7,石化,可塑劑,石化:可塑劑類
42,1314,中石化,M1300,M1300,13A,13A5,石化,化纖,石化:化纖類
43,1315,達新,M1300,M1300,13A,13A8,石化,塑膠加工,石化:塑膠加工類
44,1316,上曜,M2500,M2500,25A,25A,建設,,建設類
45,1319,東陽,M2200,M2200,15D,15D,汽車組件,,汽車組件類
46,1321,大洋,M1300,M1300,13A,13A8,石化,塑膠加工,石化:塑膠加工類
47,1323,永裕,M1300,M1300,13A,13A8,石化,塑膠加工,石化:塑膠加工類
48,1324,地球,M1300,M1300,13A,13A9,石化,膠帶,石化:膠帶類
49,1325,恒大,M1300,M1300,14F,14F,不織布,,不織布類
50,1326,台化,M1300,M1300,13A,13A1,石化,泛用塑膠,石化:泛用塑膠類
51,1336,台翰,M2300,M2328,23D,23D9A,電子零組件,沖壓零組件,電子零組件:沖壓零組件類
52,1337,再生-KY,M1300,M1300,13B,13B,塑膠製品,,塑膠製品類
53,1338,廣華-KY,M2200,M2200,15D,15D,汽車組件,,汽車組件類
54,1339,昭輝,M2200,M2200,15D,15D,汽車組件,,汽車組件類
55,1340,勝悅-KY,M1300,M1300,13B,13B,塑膠製品,,塑膠製品類
56,1341,富林-KY,M1300,M1300,13A,13A6,石化,合成皮,石化:合成皮類
57,1342,八貫,M9900,M9900,13B,13B,塑膠製品,,塑膠製品類
58,1402,遠東新,M1400,M1400,14A,14A1,人纖,聚酯絲棉,人纖:聚酯絲棉類
59,1409,新纖,M1400,M1400,14A,14A1,人纖,聚酯絲棉,人纖:聚酯絲棉類
60,1410,南染,M1400,M1400,14E,14E,染整,,染整類
61,1413,宏洲,M1400,M1400,14A,14A2,人纖,加工絲,人纖:加工絲類
62,1414,東和,M1400,M1400,14B,14B1,棉紡,聚酯紗棉紗,棉紡:聚酯紗棉紗類
