112年03月21日 每日收盤行情(全部(不含權證、牛熊證)),112年03月21日 每日收盤行情(全部(不含權證、牛熊證)),112年03月21日 每日收盤行情(全部(不含權證、牛熊證)),112年03月21日 每日收盤行情(全部(不含權證、牛熊證)),112年03月21日 每日收盤行情(全部(不含權證、牛熊證)),112年03月21日 每日收盤行情(全部(不含權證、牛熊證)),112年03月21日 每日收盤行情(全部(不含權證、牛熊證)),112年03月21日 每日收盤行情(全部(不含權證、牛熊證)),112年03月21日 每日收盤行情(全部(不含權證、牛熊證)),112年03月21日 每日收盤行情(全部(不含權證、牛熊證)),112年03月21日 每日收盤行情(全部(不含權證、牛熊證)),112年03月21日 每日收盤行情(全部(不含權證、牛熊證)),112年03月21日 每日收盤行情(全部(不含權證、牛熊證)),112年03月21日 每日收盤行情(全部(不含權證、牛熊證)),112年03月21日 每日收盤行情(全部(不含權證、牛熊證)),112年03月21日 每日收盤行情(全部(不含權證、牛熊證))
證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0050,元大台灣50,3732049,5260,442410377,118.50,118.75,118.20,118.65,+,0.55,118.6,59,118.65,53,0.0
0051,元大中型100,32859,158,1844752,56.00,56.30,56.00,56.15,+,0.55,56.1,16,56.15,1,0.0
0052,富邦科技,159881,211,16946680,106.20,106.25,105.85,106.20,+,0.55,106.2,23,106.25,5,0.0
0053,元大電子,3980,912,234403,59.25,59.25,59.00,59.20,+,0.25,59.05,14,59.35,2,0.0
0055,元大MSCI金融,251918,275,5415931,21.44,21.60,21.38,21.46,+,0.2,21.45,10,21.47,4,0.0
0056,元大高股息,10477157,6221,291794980,27.80,27.90,27.80,27.84,+,0.08,27.84,180,27.85,89,0.0
0057,富邦摩台,3879,882,332565,86.00,86.00,85.90,85.95,+,0.25,86.0,2,86.20,10,0.0
0061,元大寶滬深,54650,266,1034854,18.87,18.97,18.87,18.96,+,0.11,18.9,1,18.96,16,0.0
006203,元大MSCI台灣,6641,611,378347,56.95,57.25,56.90,57.05,+,0.15,56.9,11,57.80,20,0.0
006204,永豐臺灣加權,25930,967,2016148,77.80,77.85,77.70,77.70,+,0.25,77.7,49,77.85,50,0.0
006205,富邦上証,775813,165,24509625,31.58,31.76,31.55,31.76,+,0.21,31.73,66,31.78,202,0.0
006206,元大上證50,118104,521,3555908,30.44,30.44,30.02,30.29,+,0.28,30.29,1,30.32,20,0.0
006207,FH滬深,186495,1009,4613485,24.61,24.84,24.61,24.84,+,0.18,24.84,50,24.90,105,0.0
006208,富邦台50,1756700,2220,120390057,68.55,68.75,68.40,68.50,+,0.3,68.5,89,68.55,2,0.0
00625K,富邦上証+R,0,0,0,--,--,--,--,,0.0,7.1,5,7.15,5,0.0
00631L,元大台灣50正2,2914249,1281,325275497,111.60,112.15,111.00,111.50,+,1.35,111.5,12,111.55,355,0.0
00632R,元大台灣50反1,120372038,5005,643808684,5.35,5.37,5.33,5.35,-,0.03,5.35,19976,5.36,20749,0.0
