st_code,st_name,rev_period,rev,new_industry_name,minor_industry_name,mom,yoy
1101,台泥,* 2023/03,9497.0,M1100 水泥工業,M11A 水泥製造,0.2998780466105581,-0.0476
1102,亞泥,* 2023/03,6580.0,M1100 水泥工業,M11A 水泥製造,0.054277675590107134,-0.1937
1201,味全,* 2023/03,1489.0,M1200 食品工業,M12C 飲料乳品,-0.0006174828178694646,-0.0635
1210,大成,* 2023/03,8790.0,M1200 食品工業,M12B 油脂飼料,0.06670485283963143,0.027
1216,統一,* 2023/03,42586.0,M1200 食品工業,M12C 飲料乳品,0.04724401897167646,0.0113
1301,台塑,* 2023/03,21404.0,M1300 塑膠工業,M13A1 泛用塑膠,0.2100729356706368,-0.1915
1303,南亞,* 2023/03,28602.0,M1300 塑膠工業,M13A1 泛用塑膠,0.3094451087862201,-0.227
1304,台聚,* 2023/03,5456.0,M1300 塑膠工業,M13A1 泛用塑膠,0.21051837520744773,-0.0482
1308,亞聚,* 2023/03,731.0,M1300 塑膠工業,M13A1 泛用塑膠,0.29124567229562637,0.0237
1312,國喬,* 2023/02,1238.0,M1300 塑膠工業,M13A1 泛用塑膠,-0.06280281007751941,-0.0628
1314,中石化,* 2023/03,2064.0,M1300 塑膠工業,M13A5 化纖,0.2347156086238663,-0.2087
1319,東陽,* 2023/03,1960.0,M2200 汽車工業,M15D 汽車組件,0.014907752134672025,0.0369
1326,台化,* 2023/03,32093.0,M1300 塑膠工業,M13A1 泛用塑膠,0.14546429262324284,-0.1175
1402,遠東新,* 2023/03,21826.0,M1400 紡織纖維,M14A1 聚酯絲棉,0.10781474836119459,-0.0706
1409,新纖,* 2023/02,3251.0,M1400 紡織纖維,M14A1 聚酯絲棉,0.0342205807032446,0.0342
1440,南紡,* 2023/02,1811.0,M1400 紡織纖維,M14A1 聚酯絲棉,-0.09734786747810655,-0.0973
1447,力鵬,* 2023/03,2610.0,M1400 紡織纖維,M14A7 尼龍絲,0.22386394009162558,-0.1247
1476,儒鴻,* 2023/03,2967.0,M1400 紡織纖維,M14C1 成衣製造,0.48286236918125214,-0.2034
1477,聚陽,* 2023/03,2892.0,M1400 紡織纖維,M14C1 成衣製造,0.08978682835103796,0.1313
1504,東元,* 2023/03,4750.0,M1500 電機機械,M15B1 電機,0.03230573635998123,-0.0825
1532,勤美,* 2023/03,1133.0,M1500 電機機械,M15A2 模具零件,0.18363594575959546,-0.3751
1536,和大,* 2023/02,473.0,M2200 汽車工業,M15D 汽車組件,-0.1818449137737187,-0.1818
1565,精華,* 2023/03,438.0,M1722 生技醫療,M17G 醫療耗材,0.10277456065260082,-0.1397
1590,亞德客-KY,* 2023/03,2381.0,M1500 電機機械,M15A2 模具零件,0.005252136319113746,-0.1615
1605,華新,* 2023/03,14600.0,M1600 電器電纜,M16 電線,-0.18308699116391078,-0.0897
1702,南僑,* 2023/03,1631.0,M1200 食品工業,M12B 油脂飼料,-0.00784115725504754,-0.0348
1707,葡萄王,* 2023/02,538.0,M1722 生技醫療,M17C2 機能性食品,-0.11813398462471526,-0.1181
1710,東聯,* 2023/03,1986.0,M1721 化學工業,M13A5 化纖,0.04500465674280571,-0.0887
1711,永光,* 2023/03,846.0,M1721 化學工業,M17B 染料及顏料,0.2784284095202116,-0.079
1714,和桐,* 2023/03,1980.0,M1721 化學工業,M17E1 清潔劑原料,0.24573743881415858,0.0263
1717,長興,* 2023/02,2846.0,M1721 化學工業,M17F 樹脂,-0.13568474055357485,-0.1357
1718,中纖,* 2023/02,2527.0,M1721 化學工業,M13A5 化纖,-0.1931647291338733,-0.1932
1722,台肥,* 2023/03,1325.0,M1721 化學工業,M17C3 農藥肥料,0.2280344034996663,-0.1058
1723,中碳,* 2023/02,707.0,M1721 化學工業,M17Z 其他化學,-0.15812286404934564,-0.1581
1736,喬山,* 2023/02,2231.0,M1722 生技醫療,M15Z 其他電製品,0.06861965570425448,0.0686
1785,光洋科,* 2023/03,2043.0,M2331 其他電子業,M99L1 貴金屬回收,0.37342691190706684,-0.3503
1789,神隆,* 2023/02,212.0,M1722 生技醫療,M17C1 西藥,0.14799371852493645,0.148
1802,台玻,* 2023/02,2951.0,M1800 玻璃陶瓷,M18 玻璃陶瓷,-0.03993180945688308,-0.0399
1904,正隆,* 2023/02,3090.0,M1900 造紙工業,M19A 造紙,-0.12517128523379725,-0.1252
1907,永豐餘,* 2023/03,6788.0,M1900 造紙工業,M19A 造紙,0.15826887604577786,-0.0745
1909,榮成,* 2023/03,3246.0,M1900 造紙工業,M19A 造紙,-0.1275624158404133,-0.4033
2002,中鋼,* 2023/02,31836.0,M2000 鋼鐵工業,M20A3 鋼板,0.01860499492713217,0.0186
2006,東和鋼鐵,* 2023/03,5102.0,M2000 鋼鐵工業,M20A2 鋼筋,0.13168792740516946,-0.1629
2014,中鴻,* 2023/02,3481.0,M2000 鋼鐵工業,M20A3 鋼板,0.08355615597481139,0.0836
2027,大成鋼,* 2023/02,8784.0,M2000 鋼鐵工業,M20A6 不鏽鋼,-0.01580052481675116,-0.0158
2049,上銀,* 2023/03,2125.0,M1500 電機機械,M15A2 模具零件,0.059216429069883336,-0.2164
2059,川湖,* 2023/03,609.0,M2328 電子零組件,M20B 金屬製品,1.0196995323848375,-0.0699
2062,橋椿,* 2023/03,613.0,M9900 其他,M99B 五金及家具,0.13114239846474648,-0.3276
2101,南港,* 2023/03,583.0,M2100 橡膠工業,M21A 輪胎,0.0014429022949018,-0.1224
2105,正新,* 2023/02,6542.0,M2100 橡膠工業,M21A 輪胎,-0.18738168466136354,-0.1874
2106,建大,* 2023/03,3369.0,M2100 橡膠工業,M21A 輪胎,0.2716758642035888,-0.1162
2107,厚生,* 2023/02,178.0,M2100 橡膠工業,M21B2 其他橡膠,0.7315175097276265,0.7315
2201,裕隆,* 2023/03,6395.0,M2200 汽車工業,M22A 汽車製造,0.12688018946389049,-0.0053
2231,為升,* 2023/03,390.0,M2200 汽車工業,M15D 汽車組件,-0.09407665505226481,0.1123
2301,光寶科,* 2023/03,13665.0,M2325 電腦及週邊,M23C3 PC週邊,0.26396115157821715,-0.0978
2303,聯電,* 2023/03,21366.0,M2324 半導體,M23G1A 晶圓代工,0.2619395809363607,-0.035
2308,台達電,* 2023/02,24082.0,M2328 電子零組件,M23D3 電源供應器,-0.17291337674032667,-0.1729
2313,華通,* 2023/03,5249.0,M2328 電子零組件,M23B2D 硬板及其他,0.3116990863837189,-0.1382
2317,鴻海,* 2023/03,461935.0,M2331 其他電子業,M23A1 EMS,0.1489909457468879,-0.0896
2323,中環,* 2023/03,672.0,M2326 光電業,M23C4A 光碟,0.25699107760797585,-0.0016
2324,仁寶,* 2023/02,67667.0,M2325 電腦及週邊,M23A1 EMS,0.010205513604863383,0.0102
2327,國巨,* 2023/02,7999.0,M2328 電子零組件,M23D5 被動元件,-0.06858949354044275,-0.0686
2328,廣宇,* 2023/03,1978.0,M2328 電子零組件,M23D2 連接器,-0.04300664283053277,-0.0529
2330,台積電,* 2023/03,188949.0,M2324 半導體,M23G1A 晶圓代工,0.1579595046027525,0.0988
2331,精英,* 2023/03,2114.0,M2325 電腦及週邊,M23B1 主機板,0.632835913121389,-0.2415
2332,友訊,* 2023/03,1498.0,M2327 通信網路業,M23E2 網路卡,0.1349344647321766,-0.0292
2337,旺宏,* 2023/03,3181.0,M2324 半導體,M23G1B 記憶體製造,0.5377401359360348,-0.2527
2338,光罩,* 2023/03,560.0,M2324 半導體,M23G6 其他半導體,0.027522935779816515,-0.0779
2344,華邦電,* 2023/02,7161.0,M2324 半導體,M23G1B 記憶體製造,0.2462539288063737,0.2463
2345,智邦,* 2023/03,6552.0,M2327 通信網路業,M23E2 網路卡,0.07202636216231252,-0.0293
2347,聯強,* 2023/03,33273.0,M2329 電子通路業,M23T1 3C通路,0.2756022335402916,-0.1769
2352,佳世達,* 2023/03,18869.0,M2325 電腦及週邊,M23C1 顯示器,0.1991059927338079,-0.1595
2353,宏碁,* 2023/03,23053.0,M2325 電腦及週邊,M23A3 PC品牌,0.5705721929760615,-0.2394
2354,鴻準,* 2023/03,5077.0,M2331 其他電子業,M23D4 機殼,-0.20107760892929927,-0.4212
2355,敬鵬,* 2023/03,1570.0,M2328 電子零組件,M23B2D 硬板及其他,0.2951658142220755,0.0368
2356,英業達,* 2023/02,31629.0,M2325 電腦及週邊,M23A1 EMS,-0.11743531932941935,-0.1174
2357,華碩,* 2023/02,35696.0,M2325 電腦及週邊,M23A3 PC品牌,0.024162911220947547,0.0242
2360,致茂,* 2023/03,1757.0,M2331 其他電子業,M23H2 電機設備,0.25996787332912624,-0.0623
2362,藍天,* 2023/02,1715.0,M2325 電腦及週邊,M23A2 泛用電腦,0.008088218005689962,0.0081
2371,大同,* 2023/03,3132.0,M1500 電機機械,M15B1 電機,-0.11924252607542686,0.082
2374,佳能,* 2023/03,410.0,M2326 光電業,M23UZ 消費性電子,0.6682942708333334,-0.0157
2376,技嘉,* 2023/03,9765.0,M2325 電腦及週邊,M23B1 主機板,-0.03211226506544761,0.0278
2377,微星,* 2023/02,13230.0,M2325 電腦及週邊,M23B1 主機板,-0.06245150153033713,-0.0625
2379,瑞昱,* 2023/03,7895.0,M2324 半導體,M23G5 IC設計,0.2740837328797521,-0.2444
2382,廣達,* 2023/02,84153.0,M2325 電腦及週邊,M23A1 EMS,0.009619658699533835,0.0096
2383,台光電,* 2023/03,2833.0,M2328 電子零組件,M23B3A 銅箔基板,0.1977541581052399,-0.1772
2385,群光,* 2023/03,9033.0,M2328 電子零組件,M23C3 PC週邊,0.31612880665451504,-0.1481
2388,威盛,* 2023/03,788.0,M2324 半導體,M23G5 IC設計,0.08398101657610559,-0.1607
2392,正崴,* 2023/03,6516.0,M2328 電子零組件,M23D2 連接器,0.1935508687863368,0.19
2393,億光,* 2023/02,1417.0,M2326 光電業,M23C6C 封裝及應用,0.009417430081636743,0.0094
2401,凌陽,* 2023/03,504.0,M2324 半導體,M23G5 IC設計,0.2714429868819375,-0.3382
2404,漢唐,* 2023/03,3973.0,M2331 其他電子業,M23H1 廠辦機電,-0.16033518962729695,1.0534
2406,國碩,* 2023/03,572.0,M2326 光電業,M23C7B 太陽能晶圓,0.6028245579622832,0.0046
2408,南亞科,* 2023/03,4071.0,M2324 半導體,M23G1B 記憶體製造,1.0089517032416613,-0.3961
2409,友達,* 2023/02,20792.0,M2326 光電業,M23C8A LCD 面板,0.2952572230587183,0.2953
