,st_code,st_name,交易所產業分類,TEJ產業分類,歆凱分組,近一日漲跌％,近一週漲跌％,近一月漲跌％
0,1603,華電,M1600 電器電纜,M16 電線,ML無分組,-2.74,-5.18,8.19
1,1605,華新,M1600 電器電纜,M16 電線,ML無分組,-2.92,-3.49,-12.01
2,1608,華榮,M1600 電器電纜,M16 電線,ML無分組,-1.0,-0.67,-5.13
3,1609,大亞,M1600 電器電纜,M16 電線,ML無分組,-2.86,2.0,5.15
4,1612,宏泰,M1600 電器電纜,M16 電線,ML無分組,-1.02,3.2,1.84
5,1615,大山,M1600 電器電纜,M16 電線,ML無分組,0.59,5.42,5.09
6,1616,億泰,M1600 電器電纜,M16 電線,ML無分組,-1.92,-2.91,6.24
7,1617,榮星,M1600 電器電纜,M16 電線,ML無分組,-0.33,-0.33,1.01
8,1618,合機,M1600 電器電纜,M16 電線,ML無分組,-2.18,3.63,6.8
9,1802,台玻,M1800 玻璃陶瓷,M18 玻璃陶瓷,ML無分組,-1.45,0.99,-13.01
10,1806,冠軍,M1800 玻璃陶瓷,M18 玻璃陶瓷,12.0,-0.33,-0.77,-1.75
11,1809,中釉,M1800 玻璃陶瓷,M18 玻璃陶瓷,12.0,-1.78,0.73,-2.47
12,1810,和成,M1800 玻璃陶瓷,M18 玻璃陶瓷,12.0,-3.16,4.55,-3.92
13,1817,凱撒衛,M1800 玻璃陶瓷,M18 玻璃陶瓷,ML無分組,-0.13,0.65,-0.13
14,9949,琉園,M3200 文化創意業,M18 玻璃陶瓷,ML無分組,0.45,0.0,3.46
15,1101,台泥,M1100 水泥工業,M11A 水泥製造,0.0,-1.23,-2.29,-7.54
16,1102,亞泥,M1100 水泥工業,M11A 水泥製造,0.0,0.47,0.94,-3.69
17,1103,嘉泥,M1100 水泥工業,M11A 水泥製造,ML無分組,-1.05,0.8,-7.6
18,1104,環泥,M1100 水泥工業,M11A 水泥製造,ML無分組,-0.95,1.17,6.34
19,1108,幸福,M1100 水泥工業,M11A 水泥製造,ML無分組,-0.71,-0.71,-1.06
20,1109,信大,M1100 水泥工業,M11A 水泥製造,ML無分組,0.29,-0.29,-0.29
21,1110,東泥,M1100 水泥工業,M11A 水泥製造,ML無分組,-0.28,-0.56,-1.4
22,8463,潤泰材,M9900 其他,M11A 水泥製造,ML無分組,0.65,0.87,-5.11
23,2504,國產,M2500 建材營造,M11B 預拌混凝土,ML無分組,0.18,0.0,1.08
24,5520,力泰,M2500 建材營造,M11B 預拌混凝土,ML無分組,-0.35,0.52,0.7
25,5546,永固-KY,M2500 建材營造,M11B 預拌混凝土,ML無分組,0.0,0.48,-4.37
26,8424,惠普,M2500 建材營造,M11C 其他水泥,ML無分組,-0.29,-0.29,0.58
27,9930,中聯資源,M9900 其他,M11C 其他水泥,ML無分組,0.0,0.94,2.97
28,1217,愛之味,M1200 食品工業,M12A 罐頭加工,9.0,-0.86,0.44,1.32
29,8905,裕國,M9900 其他,M12A 罐頭加工,ML無分組,0.2,-1.4,4.44
30,1210,大成,M1200 食品工業,M12B 油脂飼料,1.0,0.2,0.4,-0.59
31,1215,卜蜂,M1200 食品工業,M12B 油脂飼料,1.0,-0.12,0.49,2.61
32,1218,泰山,M1200 食品工業,M12B 油脂飼料,ML無分組,-0.34,0.0,-3.32
33,1219,福壽,M1200 食品工業,M12B 油脂飼料,ML無分組,-2.11,-0.71,0.0
34,1220,台榮,M1200 食品工業,M12B 油脂飼料,ML無分組,-2.69,-7.14,1.56
35,1225,福懋油,M1200 食品工業,M12B 油脂飼料,ML無分組,-0.17,1.04,-0.17
36,1229,聯華,M1200 食品工業,M12B 油脂飼料,ML無分組,-0.36,0.36,2.57
37,1232,大統益,M1200 食品工業,M12B 油脂飼料,ML無分組,-0.68,-0.34,0.0
38,1235,興泰,M1200 食品工業,M12B 油脂飼料,ML無分組,0.29,1.16,2.65
39,1702,南僑,M1200 食品工業,M12B 油脂飼料,1.0,0.42,2.38,0.74
40,1240,茂生農經,M3300 農業科技,M12B 油脂飼料,ML無分組,-1.97,-1.97,-5.2
41,6578,達邦蛋白,M3300 農業科技,M12B 油脂飼料,ML無分組,-0.28,0.86,8.36
42,3313,斐成,M9900 其他,M12B 油脂飼料,ML無分組,0.0,-1.96,-8.68
43,1201,味全,M1200 食品工業,M12C 飲料乳品,ML無分組,-0.25,-0.5,-3.16
44,1213,大飲,M1200 食品工業,M12C 飲料乳品,ML無分組,-0.99,-1.27,-0.99
45,1216,統一,M1200 食品工業,M12C 飲料乳品,ML無分組,0.42,2.89,5.63
46,1234,黑松,M1200 食品工業,M12C 飲料乳品,ML無分組,-0.28,0.84,2.72
47,1256,鮮活果汁-KY,M1200 食品工業,M12C 飲料乳品,ML無分組,-1.93,-4.06,3.44
48,1203,味王,M1200 食品工業,M12Z 其他食品,ML無分組,0.39,2.39,4.19
49,1227,佳格,M1200 食品工業,M12Z 其他食品,1.0,0.37,0.62,-2.99
50,1231,聯華食,M1200 食品工業,M12Z 其他食品,ML無分組,-0.33,0.56,3.84
51,1233,天仁,M1200 食品工業,M12Z 其他食品,ML無分組,-0.44,0.59,-0.15
52,1236,宏亞,M1200 食品工業,M12Z 其他食品,ML無分組,-0.83,1.27,-3.23
53,1258,其祥-KY,M1200 食品工業,M12Z 其他食品,ML無分組,0.0,0.0,2.11
54,1264,德麥,M1200 食品工業,M12Z 其他食品,ML無分組,-1.3,-1.85,-2.03
55,1737,臺鹽,M1200 食品工業,M12Z 其他食品,ML無分組,-0.3,-0.75,-0.3
56,4205,中華食,M1200 食品工業,M12Z 其他食品,ML無分組,-0.94,-1.4,-0.47
57,4207,環泰,M1200 食品工業,M12Z 其他食品,ML無分組,-0.36,-1.41,2.94
58,1301,台塑,M1300 塑膠工業,M13A1 泛用塑膠,ML無分組,0.54,1.99,1.54
59,1303,南亞,M1300 塑膠工業,M13A1 泛用塑膠,ML無分組,-0.13,2.25,2.12
60,1304,台聚,M1300 塑膠工業,M13A1 泛用塑膠,ML無分組,3.12,-0.38,5.38
61,1305,華夏,M1300 塑膠工業,M13A1 泛用塑膠,ML無分組,-0.58,-1.52,-9.28
62,1307,三芳,M1300 塑膠工業,M13A6 合成皮,ML無分組,-1.18,-0.48,-0.48
63,1308,亞聚,M1300 塑膠工業,M13A1 泛用塑膠,ML無分組,0.52,-1.2,-0.86
64,1309,台達化,M1300 塑膠工業,M13A1 泛用塑膠,ML無分組,1.19,-0.93,-8.01
65,1310,台苯,M1300 塑膠工業,M13A1 泛用塑膠,2.0,0.72,1.45,-1.41
66,1312,國喬,M1300 塑膠工業,M13A1 泛用塑膠,ML無分組,-1.0,2.06,-0.5
67,1313,聯成,M1300 塑膠工業,M13A7 可塑劑,ML無分組,-0.69,-1.37,-7.72
68,1314,中石化,M1300 塑膠工業,M13A5 化纖,2.0,0.1,-0.6,-2.65
69,1315,達新,M1300 塑膠工業,M13A8 塑膠加工,ML無分組,-0.28,-0.28,-1.25
70,1321,大洋,M1300 塑膠工業,M13A8 塑膠加工,ML無分組,-0.54,-0.67,2.21
71,1323,永裕,M1300 塑膠工業,M13A8 塑膠加工,ML無分組,0.0,-0.45,-1.2
72,1324,地球,M1300 塑膠工業,M13A9 膠帶,ML無分組,-0.45,-1.76,-0.89
73,1326,台化,M1300 塑膠工業,M13A1 泛用塑膠,ML無分組,0.14,2.06,-2.39
74,1341,富林-KY,M1300 塑膠工業,M13A6 合成皮,ML無分組,0.87,0.43,1.6
75,4303,信立,M1300 塑膠工業,M13A6 合成皮,ML無分組,-0.56,6.02,0.28
76,4304,勝昱,M1300 塑膠工業,M13A8 塑膠加工,ML無分組,-2.0,0.2,1.14
77,4305,世坤,M1300 塑膠工業,M13A8 塑膠加工,ML無分組,0.0,-0.63,4.8
78,4306,炎洲,M1300 塑膠工業,M13A9 膠帶,2.0,-0.91,2.2,10.17
79,1710,東聯,M1721 化學工業,M13A5 化纖,ML無分組,-0.52,0.26,1.33
80,1718,中纖,M1721 化學工業,M13A5 化纖,2.0,0.48,-0.6,-4.71
81,2461,光群雷,M2331 其他電子業,M13A8 塑膠加工,17.0,1.83,8.82,8.82
82,3303,岱稜,M2331 其他電子業,M13A8 塑膠加工,ML無分組,-0.91,0.0,0.37
83,6151,晉倫,M2331 其他電子業,M13A8 塑膠加工,ML無分組,-0.35,-0.17,5.3
84,3171,新洲,M2900 貿易百貨,M13A9 膠帶,ML無分組,-1.64,0.84,4.05
85,8354,冠好,M9900 其他,M13A9 膠帶,ML無分組,0.0,0.35,-2.39
86,8942,森鉅,M9900 其他,M13A8 塑膠加工,ML無分組,0.15,0.0,-2.21
87,1337,再生-KY,M1300 塑膠工業,M13B 塑膠製品,ML無分組,0.0,-1.0,-3.61
88,1340,勝悅-KY,M1300 塑膠工業,M13B 塑膠製品,ML無分組,0.47,0.0,-3.6
89,5356,協益,M2325 電腦及週邊,M13B 塑膠製品,ML無分組,0.0,2.36,0.7
90,1342,八貫,M9900 其他,M13B 塑膠製品,ML無分組,-5.17,9.47,0.97
91,8421,旭源,M9900 其他,M13B 塑膠製品,ML無分組,-1.97,1.16,-0.85
92,8466,美吉吉-KY,M9900 其他,M13B 塑膠製品,ML無分組,-0.24,-0.49,1.23
93,8935,邦泰,M9900 其他,M13B 塑膠製品,ML無分組,-0.82,-2.02,0.83
94,9939,宏全,M9900 其他,M13B 塑膠製品,ML無分組,-2.04,-3.71,-0.41
95,6505,台塑化,M9700 油電燃氣業,M13C 輕油製解,ML無分組,0.36,3.18,-0.94
96,1402,遠東新,M1400 紡織纖維,M14A1 聚酯絲棉,ML無分組,-0.32,1.14,-4.16
97,1409,新纖,M1400 紡織纖維,M14A1 聚酯絲棉,ML無分組,-0.28,0.84,-1.37
98,1413,宏洲,M1400 紡織纖維,M14A2 加工絲,ML無分組,0.21,-0.93,0.0
99,1440,南紡,M1400 紡織纖維,M14A1 聚酯絲棉,ML無分組,0.0,0.0,-5.62
100,1444,力麗,M1400 紡織纖維,M14A2 加工絲,ML無分組,-0.48,-0.48,-3.29
101,1447,力鵬,M1400 紡織纖維,M14A7 尼龍絲,ML無分組,-0.63,-0.5,-5.26
102,1452,宏益,M1400 紡織纖維,M14A2 加工絲,ML無分組,-0.28,-0.28,-1.38
103,1455,集盛,M1400 紡織纖維,M14A7 尼龍絲,ML無分組,0.47,0.94,-3.15
104,1457,宜進,M1400 紡織纖維,M14A2 加工絲,ML無分組,0.0,-0.53,-2.87
105,1459,聯發,M1400 紡織纖維,M14A2 加工絲,ML無分組,-0.9,0.57,2.09
106,1466,聚隆,M1400 紡織纖維,M14A7 尼龍絲,ML無分組,0.0,-2.1,-0.85
107,4401,東隆興,M1400 紡織纖維,M14A7 尼龍絲,ML無分組,-0.74,1.52,-2.01
108,4402,福大,M1400 紡織纖維,M14A7 尼龍絲,ML無分組,0.46,1.87,0.93
109,4406,新昕纖,M1400 紡織纖維,M14A2 加工絲,ML無分組,0.0,-0.94,0.48
110,4440,宜新實業,M1400 紡織纖維,M14A2 加工絲,ML無分組,-0.57,1.01,4.03
111,1414,東和,M1400 紡織纖維,M14B1 聚酯紗棉紗,ML無分組,-0.28,-0.56,-1.66
112,1418,東華,M1400 紡織纖維,M14B2 亞克力纖維,ML無分組,0.35,1.06,1.79
113,1441,大東,M1400 紡織纖維,M14B1 聚酯紗棉紗,ML無分組,-0.49,-0.37,-0.49
114,1417,嘉裕,M1400 紡織纖維,M14C1 成衣製造,ML無分組,-3.6,0.37,-4.96
115,1419,新紡,M1400 紡織纖維,M14C2 織布,ML無分組,-0.36,0.0,0.73
116,1434,福懋,M1400 紡織纖維,M14C2 織布,ML無分組,-0.18,1.45,1.08
117,1445,大宇,M1400 紡織纖維,M14C2 織布,ML無分組,-0.31,0.0,1.57
118,1446,宏和,M1400 紡織纖維,M14C2 織布,ML無分組,0.47,-0.16,-2.01
119,1449,佳和,M1400 紡織纖維,M14C2 織布,ML無分組,-0.65,0.66,0.0
120,1451,年興,M1400 紡織纖維,M14C1 成衣製造,ML無分組,-0.65,0.0,-2.13
121,1454,台富,M1400 紡織纖維,M14C2 織布,ML無分組,-0.4,-1.19,-3.47
122,1460,宏遠,M1400 紡織纖維,M14C2 織布,ML無分組,1.49,0.27,2.74
123,1464,得力,M1400 紡織纖維,M14C2 織布,ML無分組,-1.01,-0.34,2.79
124,1465,偉全,M1400 紡織纖維,M14C2 織布,ML無分組,-1.05,-0.35,1.43
125,1467,南緯,M1400 紡織纖維,M14C1 成衣製造,ML無分組,-0.85,-1.69,0.43
126,1468,昶和,M1400 紡織纖維,M14C2 織布,ML無分組,-0.65,-9.25,7.42
127,1473,台南,M1400 紡織纖維,M14C1 成衣製造,ML無分組,1.05,-2.44,-8.57
128,1474,弘裕,M1400 紡織纖維,M14C2 織布,ML無分組,-0.41,0.0,-0.81
129,1475,業旺,M1400 紡織纖維,M14C2 織布,ML無分組,-0.87,-1.72,-17.51
130,1476,儒鴻,M1400 紡織纖維,M14C1 成衣製造,3.0,-0.31,4.05,-1.04
131,1477,聚陽,M1400 紡織纖維,M14C1 成衣製造,3.0,0.0,3.74,10.02
132,4413,飛寶企業,M1400 紡織纖維,M14C2 織布,ML無分組,-1.89,-1.27,-13.33
133,4420,光明,M1400 紡織纖維,M14C2 織布,ML無分組,-0.65,0.16,2.17
134,4426,利勤,M1400 紡織纖維,M14C2 織布,ML無分組,-1.11,-1.11,2.88
135,4432,銘旺實,M1400 紡織纖維,M14C1 成衣製造,ML無分組,-4.39,-8.42,-18.39
136,4433,興采,M1400 紡織纖維,M14C2 織布,ML無分組,-1.19,-2.49,-12.48
137,4438,廣越,M1400 紡織纖維,M14C1 成衣製造,ML無分組,-0.86,0.44,-5.74
138,4439,冠星-KY,M1400 紡織纖維,M14C2 織布,ML無分組,-0.91,-1.36,-3.12
139,5906,台南-KY,M1398 紡織纖維,M14C1 成衣製造,ML無分組,-0.7,-2.62,-7.24
140,8916,光隆,M1399 紡織纖維,M14C1 成衣製造,ML無分組,-1.08,-0.36,-0.18
141,1423,利華,M1400 紡織纖維,M14D2 毛紡,ML無分組,-0.96,0.0,1.97
