代號,名稱,月份,預估營收（百萬）,mom,yoy,new_industry_name
1101,台泥,2023/02,7306.07,-0.0026,0.3391,M1100 水泥工業
1102,亞泥,2023/02,6241.24,0.2963,0.522,M1100 水泥工業
1103,嘉泥,2023/02,211.05,0.1037,0.5743,M1100 水泥工業
1104,環泥,2023/02,591.52,0.1728,0.6981,M1100 水泥工業
1108,幸福,2023/02,361.75,0.2267,0.7174,M1100 水泥工業
1109,信大,2023/02,410.95,0.379,1.2624,M1100 水泥工業
1110,東泥,2023/02,174.12,0.2629,0.7879,M1100 水泥工業
1201,味全,2023/02,1489.92,-0.0601,0.1533,M1200 食品工業
1203,味王,2023/02,515.62,0.0,0.1365,M1200 食品工業
1210,大成,2023/02,8240.33,-0.1034,0.0963,M1200 食品工業
1213,大飲,2023/02,30.74,-0.1012,0.2537,M1200 食品工業
1215,卜蜂,2023/02,2263.47,-0.0448,0.1047,M1200 食品工業
1216,統一,2023/02,40664.83,-0.1144,0.1921,M1200 食品工業
1217,愛之味,2023/02,308.66,-0.3109,-0.0135,M1200 食品工業
1218,泰山,2023/02,834.86,-0.1426,0.1214,M1200 食品工業
1219,福壽,2023/02,1293.81,-0.0306,0.1443,M1200 食品工業
1220,台榮,2023/02,178.57,-0.4037,-0.1406,M1200 食品工業
1225,福懋油,2023/02,1326.12,-0.0833,0.4189,M1200 食品工業
1227,佳格,2023/02,1413.14,-0.4315,0.0776,M1200 食品工業
1229,聯華,2023/02,812.32,-0.0018,0.2622,M1200 食品工業
1231,聯華食,2023/02,740.03,-0.419,0.0727,M1200 食品工業
1232,大統益,2023/02,2067.5,-0.1832,0.4093,M1200 食品工業
1233,天仁,2023/02,153.52,-0.2068,0.1648,M1200 食品工業
1234,黑松,2023/02,795.91,-0.0703,0.7093,M1200 食品工業
1235,興泰,2023/02,1.71,-0.3049,1.5147,M1200 食品工業
1236,宏亞,2023/02,110.19,-0.6557,0.1361,M1200 食品工業
1240,茂生農經,2023/02,239.18,-0.0303,0.1299,M3300 農業科技
1256,鮮活果汁-KY,2023/02,274.91,0.5429,0.5801,M1200 食品工業
1258,其祥-KY,2023/02,229.87,-0.148,0.3527,M1200 食品工業
1259,安心,2023/02,436.18,-0.0778,0.0527,M2700 觀光事業
1264,德麥,2023/02,383.64,-0.0902,0.4279,M1200 食品工業
1268,漢來美食,2023/02,364.64,-0.3733,0.168,M2700 觀光事業
1301,台塑,2023/02,17688.19,0.2277,-0.141,M1300 塑膠工業
1303,南亞,2023/02,21842.84,0.0765,-0.2676,M1300 塑膠工業
1304,台聚,2023/02,4507.16,0.1464,-0.1448,M1300 塑膠工業
1305,華夏,2023/02,1338.69,0.0477,-0.1483,M1300 塑膠工業
1307,三芳,2023/02,959.54,0.2146,0.2639,M1300 塑膠工業
1308,亞聚,2023/02,566.12,0.247,-0.1533,M1300 塑膠工業
1309,台達化,2023/02,1201.3,0.2189,-0.1513,M1300 塑膠工業
1310,台苯,2023/02,569.24,-0.4087,-0.4923,M1300 塑膠工業
1312,國喬,2023/02,1320.96,0.0475,0.1117,M1300 塑膠工業
1313,聯成,2023/02,5836.56,0.6205,0.1922,M1300 塑膠工業
1314,中石化,2023/02,1671.64,0.4643,-0.2513,M1300 塑膠工業
1315,達新,2023/02,117.99,-0.5114,-0.1222,M1300 塑膠工業
1316,上曜,2023/02,205.68,3.3356,1.2699,M2500 建材營造
1319,東陽,2023/02,1931.21,0.289,0.3894,M2200 汽車工業
1321,大洋,2023/02,441.56,-0.0558,-0.1179,M1300 塑膠工業
1323,永裕,2023/02,244.56,0.0064,-0.0452,M1300 塑膠工業
1324,地球,2023/02,76.81,-0.0596,0.122,M1300 塑膠工業
1325,恒大,2023/02,33.3,-0.0507,-0.17,M1300 塑膠工業
1326,台化,2023/02,28017.46,0.0954,-0.0244,M1300 塑膠工業
1336,台翰,2023/02,197.33,0.1355,0.3486,M2328 電子零組件
1337,再生-KY,2023/02,51.36,-0.3052,0.0788,M1300 塑膠工業
1338,廣華-KY,2023/02,483.3,0.0394,-0.1557,M2200 汽車工業
1339,昭輝,2023/02,172.41,0.1176,0.4144,M2200 汽車工業
1340,勝悅-KY,2023/02,44.01,-0.155,-0.0403,M1300 塑膠工業
1341,富林-KY,2023/02,206.28,-0.1858,0.1284,M1300 塑膠工業
1342,八貫,2023/02,148.75,-0.3966,-0.2062,M9900 其他
1402,遠東新,2023/02,19701.85,0.0405,0.0135,M1400 紡織纖維
1409,新纖,2023/02,3143.43,0.0486,-0.1442,M1400 紡織纖維
1410,南染,2023/02,20.35,0.2289,-0.2057,M1400 紡織纖維
1413,宏洲,2023/02,159.37,-0.251,-0.3939,M1400 紡織纖維
