代號,名稱,預估月,yoy,mom,預估營收（百萬）,TEJ產業
2883,開發金,* 2023/02,2.863,2.863,8824.0,M2800 金融業
2888,新光金,* 2023/02,1.508,1.508,8301.0,M2800 金融業
2609,陽明,* 2023/02,1.392,1.392,27048.0,M2600 航運業
2404,漢唐,* 2023/03,1.053,-0.16,3973.0,M2331 其他電子業
3062,建漢,* 2023/03,0.87,0.386,456.0,M2327 通信網路業
2891,中信金,* 2023/02,0.774,0.775,13490.0,M2800 金融業
2107,厚生,* 2023/02,0.732,0.732,178.0,M2100 橡膠工業
6116,彩晶,* 2023/02,0.687,0.687,1293.0,M2326 光電業
6206,飛捷,* 2023/02,0.534,0.534,374.0,M2325 電腦及週邊
5347,世界,* 2023/02,0.5,0.5,3726.0,M2324 半導體
3022,威強電,* 2023/03,0.434,-0.074,669.0,M2325 電腦及週邊
2542,興富發,* 2023/03,0.399,-0.013,2762.0,M2500 建材營造
3529,力旺,* 2023/03,0.382,-0.63,79.0,M2324 半導體
3443,創意,* 2023/03,0.37,-0.082,2064.0,M2324 半導體
3504,揚明光,* 2023/02,0.351,0.351,281.0,M2326 光電業
8422,可寧衛,* 2023/03,0.329,0.1,510.0,M9900 其他
5512,力麒,* 2023/03,0.3,0.728,655.0,M2500 建材營造
6176,瑞儀,* 2023/02,0.295,0.295,3706.0,M2326 光電業
2409,友達,* 2023/02,0.295,0.295,20792.0,M2326 光電業
2534,宏盛,* 2023/03,0.249,1.071,665.0,M2500 建材營造
2344,華邦電,* 2023/02,0.246,0.246,7161.0,M2324 半導體
3376,新日興,* 2023/02,0.242,0.242,649.0,M2328 電子零組件
4736,泰博,* 2023/03,0.237,0.593,701.0,M1722 生技醫療
3081,聯亞,* 2023/03,0.215,1.181,207.0,M2327 通信網路業
6244,茂迪,* 2023/03,0.214,-0.044,459.0,M2326 光電業
2392,正崴,* 2023/03,0.19,0.194,6516.0,M2328 電子零組件
3711,日月光投控,* 2023/02,0.19,0.189,47560.0,M2324 半導體
6279,胡連,* 2023/03,0.183,0.057,533.0,M2328 電子零組件
5478,智冠,* 2023/03,0.179,0.085,538.0,M3200 文化創意業
8436,大江,* 2023/03,0.172,0.148,644.0,M1722 生技醫療
2834,臺企銀,* 2023/03,0.169,-0.03,2395.0,M2800 金融業
3481,群創,* 2023/02,0.16,0.16,17980.0,M2326 光電業
5534,長虹,* 2023/03,0.16,8.021,727.0,M2500 建材營造
1789,神隆,* 2023/02,0.148,0.148,212.0,M1722 生技醫療
6173,信昌電,* 2023/02,0.145,0.145,327.0,M2328 電子零組件
