代號,名稱,預估月,yoy,mom,預估營收（百萬）,TEJ產業
1438,三地開發,* 2023/01,10550.0,,105.51,M2500 建材營造
6186,新潤,* 2022/12,847.292,168.188,2443.08,M2500 建材營造
1436,華友聯,* 2023/03,703.0,121.222,352.0,M2500 建材營造
2537,聯上發,* 2023/02,699.0,699.0,119.0,M2500 建材營造
3056,總太,* 2023/03,71.517,2.379,314.0,M2500 建材營造
1805,寶徠,* 2023/02,53.546,53.545,24.0,M2500 建材營造
6576,逸達,* 2023/02,46.619,46.619,10.0,M1722 生技醫療
2530,華建,* 2023/02,29.899,29.899,55.0,M2500 建材營造
5213,亞昕,* 2023/03,28.365,18.878,555.0,M2500 建材營造
6461,益得,* 2023/02,14.385,14.385,2.0,M1722 生技醫療
6535,順藥,* 2023/03,13.286,-0.342,2.0,M1722 生技醫療
3067,全域,* 2023/03,12.208,1.09,7.0,M2331 其他電子業
4712,南璋,* 2023/03,9.714,inf,3.0,M1200 食品工業
4743,合一,* 2023/03,7.371,12.262,74.0,M1722 生技醫療
6169,昱泉,* 2023/03,7.333,-0.18,1.0,M3200 文化創意業
6499,益安,* 2023/03,5.923,1.461,36.0,M1722 生技醫療
2745,五福,* 2023/03,5.724,-0.703,63.0,M2700 觀光事業
6264,富裔,* 2023/03,5.64,4.309,117.0,M2500 建材營造
6222,上揚,* 2023/02,5.25,5.25,1.0,M2326 光電業
3466,致振,* 2023/03,5.233,0.185,116.0,M2327 通信網路業
6219,富旺,* 2023/03,4.66,65.667,30.0,M2500 建材營造
6212,理銘,* 2023/03,3.943,5.586,65.0,M2500 建材營造
2719,燦星旅,* 2023/03,3.918,-0.783,9.0,M2700 觀光事業
2536,宏普,* 2023/03,3.427,3.303,63.0,M2500 建材營造
2883,開發金,* 2023/02,2.863,2.863,8824.0,M2800 金融業
6674,鋐寶科技,* 2023/02,2.831,2.831,213.0,M2327 通信網路業
3073,天方能源,* 2023/03,2.646,1.756,7.0,M2324 半導體
2734,易飛網,* 2023/03,2.635,-0.438,59.0,M2700 觀光事業
3498,陽程,* 2023/03,2.481,0.287,150.0,M2331 其他電子業
4157,太景*-KY,* 2023/02,2.419,2.419,4.0,M1722 生技醫療
1539,巨庭,* 2023/02,2.309,2.309,171.0,M1500 電機機械
8476,台境,* 2023/02,2.226,2.226,157.0,M9900 其他
5706,鳳凰,* 2023/03,2.172,-0.76,21.0,M2700 觀光事業
4147,中裕,* 2023/03,2.103,0.656,40.0,M1722 生技醫療
4702,中美實,* 2023/02,1.869,1.869,138.0,M1721 化學工業
6624,萬年清,* 2023/03,1.857,0.785,31.0,M9900 其他
3535,晶彩科,* 2023/02,1.76,1.76,84.0,M2326 光電業
5314,世紀,* 2023/03,1.655,-0.292,3.0,M2324 半導體
9946,三發地產,* 2023/03,1.648,1.581,155.0,M2500 建材營造
2501,國建,* 2023/03,1.64,-0.11,886.0,M2500 建材營造
4402,福大,* 2023/02,1.581,1.581,12.0,M1400 紡織纖維
5529,鉅陞,* 2023/03,1.541,0.918,14.0,M2500 建材營造
8068,全達,* 2023/02,1.541,1.541,70.0,M2329 電子通路業
2888,新光金,* 2023/02,1.508,1.508,8301.0,M2800 金融業
6625,必應,* 2023/03,1.478,0.43,92.0,M9900 其他
2731,雄獅,* 2023/03,1.439,-0.544,455.0,M2700 觀光事業
3686,達能,* 2023/02,1.406,1.405,7.0,M2324 半導體
5410,國眾,* 2023/03,1.403,1.33,541.0,M2330 資訊服務業
2609,陽明,* 2023/02,1.392,1.392,27048.0,M2600 航運業
8034,榮群,* 2023/03,1.378,2.819,33.0,M2327 通信網路業
3629,地心引力,* 2023/02,1.367,1.367,8.0,M3200 文化創意業
3489,森寶,* 2023/03,1.273,6.016,190.0,M2500 建材營造
4168,醣聯,* 2023/01,1.222,-0.971,0.2,M1722 生技醫療
6187,萬潤,* 2023/02,1.167,1.167,157.0,M2331 其他電子業
2538,基泰,* 2023/03,1.102,0.494,46.0,M2500 建材營造
3229,晟鈦,* 2023/03,1.1,-0.053,81.0,M2328 電子零組件
2910,統領,* 2023/02,1.08,1.08,78.0,M2900 貿易百貨
5351,鈺創,* 2023/02,1.066,1.066,389.0,M2324 半導體
2404,漢唐,* 2023/03,1.053,-0.16,3973.0,M2331 其他電子業
4503,金雨,* 2023/03,1.048,0.258,17.0,M1500 電機機械
1515,力山,* 2023/02,1.018,1.019,296.0,M1500 電機機械
6111,大宇資,* 2023/03,1.011,0.927,200.0,M3200 文化創意業
6404,通訊-KY,* 2023/02,1.0,1.0,1.0,M2330 資訊服務業
2482,連宇,* 2023/03,0.954,-0.297,112.0,M2331 其他電子業
3437,榮創,* 2023/02,0.936,0.936,218.0,M2326 光電業
3645,達邁,* 2023/02,0.926,0.926,165.0,M2328 電子零組件
8467,波力-KY,* 2023/03,0.91,0.252,181.0,M9900 其他
6240,松崗,* 2023/03,0.887,-0.361,2.0,M9900 其他
4155,訊映,* 2023/02,0.881,0.881,103.0,M1722 生技醫療
8926,台汽電,* 2023/03,0.873,0.423,480.0,M9700 油電燃氣業
3062,建漢,* 2023/03,0.87,0.386,456.0,M2327 通信網路業
8089,康全電訊,* 2023/02,0.862,0.862,125.0,M2327 通信網路業
5251,天鉞電,* 2023/03,0.861,1.305,26.0,M2326 光電業
3432,台端,* 2023/03,0.852,0.282,2.0,M2328 電子零組件
3664,安瑞-KY,* 2023/03,0.841,1.38,52.0,M2327 通信網路業
4564,元翎,* 2023/02,0.832,0.832,157.0,M1500 電機機械
1541,錩泰,* 2023/02,0.816,0.816,276.0,M1500 電機機械
8277,商丞,* 2023/03,0.799,3.902,45.0,M2324 半導體
4966,譜瑞-KY,* 2023/02,0.784,0.784,1501.0,M2324 半導體
2891,中信金,* 2023/02,0.774,0.775,13490.0,M2800 金融業
4911,德英,* 2023/03,0.765,-0.554,6.0,M1722 生技醫療
6598,ABC-KY,* 2023/03,0.756,1.014,41.0,M1722 生技醫療
4432,銘旺實,* 2023/02,0.748,0.748,126.0,M1400 紡織纖維
8083,瑞穎,* 2023/02,0.746,0.746,131.0,M1500 電機機械
2107,厚生,* 2023/02,0.732,0.732,178.0,M2100 橡膠工業
4934,太極,* 2023/03,0.728,-0.13,197.0,M2326 光電業
6516,勤崴國際,* 2023/03,0.716,0.165,45.0,M2330 資訊服務業
1777,生泰,* 2023/03,0.706,0.324,109.0,M1722 生技醫療
3162,精確,* 2023/03,0.701,-0.434,226.0,M1500 電機機械
6116,彩晶,* 2023/02,0.687,0.687,1293.0,M2326 光電業
2442,新美齊,* 2023/03,0.683,0.848,17.0,M2325 電腦及週邊
3661,世芯-KY,* 2023/03,0.68,-0.067,1436.0,M2324 半導體
2509,全坤建,* 2023/03,0.675,0.462,26.0,M2500 建材營造
3268,海德威,* 2023/02,0.667,0.667,66.0,M2324 半導體
4721,美琪瑪,* 2023/02,0.659,0.659,334.0,M1721 化學工業
1310,台苯,* 2023/02,0.658,0.658,944.0,M1300 塑膠工業
2712,遠雄來,* 2023/03,0.654,-0.222,35.0,M2700 觀光事業
8067,志旭,* 2023/02,0.653,0.653,12.0,M2329 電子通路業
4417,金洲,* 2023/03,0.643,0.581,312.0,M1400 紡織纖維
1416,廣豐,* 2023/03,0.634,0.508,29.0,M9900 其他
3064,泰偉,* 2023/03,0.621,0.565,10.0,M3200 文化創意業
4426,利勤,* 2023/03,0.617,0.121,165.0,M1400 紡織纖維
4142,國光生,* 2023/03,0.616,-0.216,32.0,M1722 生技醫療
6161,捷波,* 2023/02,0.591,0.591,127.0,M2325 電腦及週邊
8097,常珵,* 2023/03,0.578,1.551,145.0,M2327 通信網路業
5468,凱鈺,* 2023/02,0.56,0.56,12.0,M2324 半導體
2434,統懋,* 2023/02,0.558,0.558,5.0,M2324 半導體
1423,利華,* 2023/02,0.555,0.555,13.0,M1400 紡織纖維
8473,山林水,* 2023/03,0.548,0.257,363.0,M9900 其他
2527,宏璟,* 2023/02,0.534,0.534,38.0,M2500 建材營造
6206,飛捷,* 2023/02,0.534,0.534,374.0,M2325 電腦及週邊
5484,慧友,* 2023/03,0.532,-0.259,27.0,M2326 光電業
6596,寬宏藝術,* 2023/02,0.528,0.528,160.0,M3200 文化創意業
8941,關中,* 2023/02,0.527,0.527,218.0,M2900 貿易百貨
3693,營邦,* 2023/03,0.524,0.141,479.0,M2325 電腦及週邊
4707,磐亞,* 2023/03,0.521,0.423,136.0,M1721 化學工業
3325,旭品,* 2023/03,0.52,0.053,106.0,M2325 電腦及週邊
3313,斐成,* 2023/03,0.515,inf,1.0,M9900 其他
4102,永日,* 2023/03,0.509,0.399,50.0,M1722 生技醫療
3004,豐達科,* 2023/03,0.501,-0.022,221.0,M2000 鋼鐵工業
5347,世界,* 2023/02,0.5,0.5,3726.0,M2324 半導體
5455,昇益,* 2023/03,0.498,93.444,17.0,M2500 建材營造
1459,聯發,* 2023/02,0.492,0.492,160.0,M1400 紡織纖維
3011,今皓,* 2023/02,0.492,0.491,105.0,M2328 電子零組件
1808,潤隆,* 2023/03,0.482,-0.293,364.0,M2500 建材營造
3642,駿熠電,* 2023/02,0.48,0.48,17.0,M2331 其他電子業
4304,勝昱,* 2023/03,0.479,0.022,53.0,M1300 塑膠工業
6180,橘子,* 2023/02,0.473,0.473,1260.0,M3200 文化創意業
3521,鴻翊,* 2023/02,0.473,0.473,25.0,M2325 電腦及週邊
6144,得利影,* 2023/02,0.464,0.464,21.0,M3200 文化創意業
1413,宏洲,* 2023/02,0.462,0.462,233.0,M1400 紡織纖維
5209,新鼎,* 2023/03,0.451,-0.073,332.0,M2330 資訊服務業
8092,建暐,* 2023/03,0.442,0.222,37.0,M2331 其他電子業
1451,年興,* 2023/02,0.442,0.442,576.0,M1400 紡織纖維
3632,研勤,* 2023/03,0.435,0.354,33.0,M2327 通信網路業
3022,威強電,* 2023/03,0.434,-0.074,669.0,M2325 電腦及週邊
3360,尚立,* 2023/02,0.432,0.432,920.0,M2329 電子通路業
6130,星寶國際,* 2023/03,0.416,-0.587,8.0,M1722 生技醫療
