,st_code,st_name,交易所產業分類,TEJ產業分類,歆凱分組,date,近一日漲跌％,近一週漲跌％,近一月漲跌％
0,1603,華電,M1600 電器電纜,M16 電線,ML無分,2023/03/29,0.88,-4.02,9.98
1,1605,華新,M1600 電器電纜,M16 電線,ML無分,2023/03/29,0.4,-3.29,-1.96
2,1608,華榮,M1600 電器電纜,M16 電線,ML無分,2023/03/29,-0.68,0.0,-2.97
3,1609,大亞,M1600 電器電纜,M16 電線,ML無分,2023/03/29,4.12,7.27,9.94
4,1612,宏泰,M1600 電器電纜,M16 電線,ML無分,2023/03/29,1.29,3.7,4.53
5,1615,大山,M1600 電器電纜,M16 電線,ML無分,2023/03/29,0.0,4.93,4.93
6,1616,億泰,M1600 電器電纜,M16 電線,ML無分,2023/03/29,0.46,-3.11,6.99
7,1617,榮星,M1600 電器電纜,M16 電線,ML無分,2023/03/29,0.67,0.33,1.35
8,1618,合機,M1600 電器電纜,M16 電線,ML無分,2023/03/29,9.87,13.49,16.95
9,1802,台玻,M1800 玻璃陶瓷,M18 玻璃陶瓷,ML無分,2023/03/29,2.7,3.71,-7.71
10,1806,冠軍,M1800 玻璃陶瓷,M18 玻璃陶瓷,12.0,2023/03/29,0.56,0.0,-1.1
11,1809,中釉,M1800 玻璃陶瓷,M18 玻璃陶瓷,12.0,2023/03/29,-0.72,-1.08,-2.14
12,1810,和成,M1800 玻璃陶瓷,M18 玻璃陶瓷,12.0,2023/03/29,-1.09,3.41,-4.71
13,1817,凱撒衛,M1800 玻璃陶瓷,M18 玻璃陶瓷,ML無分,2023/03/29,0.51,1.16,0.77
14,9949,琉園,M3200 文化創意業,M18 玻璃陶瓷,ML無分,2023/03/29,1.78,2.24,5.06
15,1101,台泥,M1100 水泥工業,M11A 水泥製造,0.0,2023/03/29,0.41,-2.28,-3.84
16,1102,亞泥,M1100 水泥工業,M11A 水泥製造,0.0,2023/03/29,0.46,0.93,-1.81
17,1103,嘉泥,M1100 水泥工業,M11A 水泥製造,ML無分,2023/03/29,0.27,0.8,-4.06
18,1104,環泥,M1100 水泥工業,M11A 水泥製造,ML無分,2023/03/29,0.58,3.36,8.28
19,1108,幸福,M1100 水泥工業,M11A 水泥製造,ML無分,2023/03/29,-0.71,-1.42,-0.71
20,1109,信大,M1100 水泥工業,M11A 水泥製造,ML無分,2023/03/29,0.0,0.29,0.29
21,1110,東泥,M1100 水泥工業,M11A 水泥製造,ML無分,2023/03/29,-0.28,-0.28,-0.85
22,8463,潤泰材,M9900 其他,M11A 水泥製造,ML無分,2023/03/29,-0.43,0.65,-4.94
23,2504,國產,M2500 建材營造,M11B 預拌混凝土,ML無分,2023/03/29,-0.54,-0.71,3.92
24,5520,力泰,M2500 建材營造,M11B 預拌混凝土,ML無分,2023/03/29,0.17,0.7,-0.69
25,5546,永固-KY,M2500 建材營造,M11B 預拌混凝土,ML無分,2023/03/29,-2.52,-1.22,-5.92
26,8424,惠普,M2500 建材營造,M11C 其他水泥,ML無分,2023/03/29,0.58,0.29,0.87
27,9930,中聯資源,M9900 其他,M11C 其他水泥,ML無分,2023/03/29,0.1,0.52,3.18
28,1217,愛之味,M1200 食品工業,M12A 罐頭加工,9.0,2023/03/29,0.43,0.87,1.32
29,8905,裕國,M9900 其他,M12A 罐頭加工,ML無分,2023/03/29,0.4,-2.94,2.69
30,1210,大成,M1200 食品工業,M12B 油脂飼料,1.0,2023/03/29,-0.2,0.2,-1.76
31,1215,卜蜂,M1200 食品工業,M12B 油脂飼料,1.0,2023/03/29,0.36,0.12,-1.31
32,1218,泰山,M1200 食品工業,M12B 油脂飼料,ML無分,2023/03/29,-0.34,0.17,-3.49
33,1219,福壽,M1200 食品工業,M12B 油脂飼料,ML無分,2023/03/29,0.48,0.0,-2.55
34,1220,台榮,M1200 食品工業,M12B 油脂飼料,ML無分,2023/03/29,-0.92,-7.74,-3.3
35,1225,福懋油,M1200 食品工業,M12B 油脂飼料,ML無分,2023/03/29,0.86,1.38,1.03
36,1229,聯華,M1200 食品工業,M12B 油脂飼料,ML無分,2023/03/29,0.36,-0.53,4.09
37,1232,大統益,M1200 食品工業,M12B 油脂飼料,ML無分,2023/03/29,0.0,0.0,-0.68
38,1235,興泰,M1200 食品工業,M12B 油脂飼料,ML無分,2023/03/29,0.57,0.57,2.64
