代號,名稱,營收發布日,營收(百萬),yoy％,mom％
5523,豐謙,2023/03/10,96.36,27668.3,-5.23
2539,櫻花建,2023/03/10,496.27,20821.88,-30.91
5314,世紀,2023/03/10,4.24,4318.75,4365.26
9902,台火,2023/03/09,13.07,3452.72,-37.27
2745,五福,2023/03/10,212.06,2876.68,7.15
3056,總太,2023/03/06,92.93,2070.32,391.01
5533,皇鼎,2023/03/09,722.97,1888.63,157.38
6177,達麗,2023/03/09,1666.84,1444.73,6268.29
2719,燦星旅,2023/03/10,41.54,1291.92,49.67
1418,東華,2023/03/10,3.37,1276.73,-6.25
8038,長園科,2023/03/09,31.49,1058.11,56.49
3466,致振,2023/03/10,97.91,950.53,-8.73
6169,昱泉,2023/03/10,1.22,922.69,0.08
2734,易飛網,2023/03/10,104.93,897.49,-12.6
5706,鳳凰,2023/03/09,87.62,820.65,-38.25
6020,大展證,2023/03/06,62.09,756.41,17.58
2482,連宇,2023/03/08,159.43,644.22,3.75
3266,昇陽,2023/03/07,226.4,640.27,22.03
2743,山富,2023/03/10,215.41,637.76,-16.14
2528,皇普,2023/03/08,1147.46,577.5,70.8
4911,德英,2023/03/02,13.44,572.54,1.34
6186,新潤,2023/03/09,9.79,550.0,-92.97
6446,藥華藥,2023/03/05,307.62,459.07,32.38
1808,潤隆,2023/03/10,514.57,458.65,50.13
6499,益安,2023/03/10,14.63,430.73,63.76
3162,精確,2023/03/10,399.47,424.15,93.88
2731,雄獅,2023/03/08,998.34,377.48,-10.3
6472,保瑞,2023/03/09,1575.31,376.92,-16.9
5227,立凱-KY,2023/03/06,45.96,367.5,20.85
1442,名軒,2023/03/09,158.47,361.83,1155.22
8937,合騏,2023/03/09,16.0,347.59,6.05
6103,合邦,2023/03/09,4.99,331.55,-19.52
2243,宏旭-KY,2023/03/09,16.37,324.9,-92.0
4123,晟德,2023/03/09,122.6,317.61,11.68
4119,旭富,2023/03/08,107.64,299.29,18.57
6130,星寶國際,2023/03/10,19.39,267.62,252.33
9906,欣巴巴,2023/03/10,149.72,262.4,-40.21
2424,隴華,2023/03/09,4.48,258.53,17.07
3229,晟鈦,2023/03/10,85.57,239.19,36.66
5310,天剛,2023/03/07,0.57,237.06,365.85
1529,樂事綠能,2023/03/09,37.82,235.91,-26.75
8905,裕國,2023/03/09,393.14,226.7,65.87
1472,三洋實業,2023/03/10,106.74,218.75,74.96
1584,精剛,2023/03/09,253.22,216.37,70.75
3432,台端,2023/03/02,1.56,214.72,152.18
3308,聯德,2023/03/08,52.38,200.13,102.34
3054,立萬利,2023/03/08,3.69,197.66,133.02
8087,華鎂鑫,2023/03/09,14.86,194.96,1060.03
6240,松崗,2023/03/10,3.13,194.73,-0.67
4304,勝昱,2023/03/10,51.85,192.53,52.1
2596,綠意,2023/03/10,9.29,173.34,-9.04
2404,漢唐,2023/03/10,4731.65,171.3,5.04
2501,國建,2023/03/10,995.3,170.43,2.38
6767,台微醫,2023/03/10,21.83,170.34,15.25
2542,興富發,2023/03/09,2799.66,170.11,25.46
4550,長佳,2023/03/10,166.94,161.52,48.71
1512,瑞利,2023/03/10,98.89,158.32,-26.88
4979,華星光,2023/03/09,160.8,157.19,-4.39
6533,晶心科,2023/03/10,104.54,151.51,66.04
4542,科嶠,2023/03/08,73.81,150.5,9.78
1235,興泰,2023/03/10,1.71,149.2,32.12
6753,龍德造船,2023/03/10,294.33,146.62,-49.93
6122,擎邦,2023/03/09,438.19,146.16,117.55
1762,中化生,2023/03/10,285.65,144.14,8.66
8924,大田,2023/03/02,511.34,142.69,23.23
4426,利勤,2023/03/10,147.23,138.31,64.35
6649,台生材,2023/03/10,10.65,138.14,330.04
4763,材料-KY,2023/03/06,458.93,135.66,6.29
2530,華建,2023/03/07,1.78,133.2,70.54
4934,太極,2023/03/06,226.55,131.83,52.83
2413,環科,2023/03/08,439.28,128.46,38.9
6212,理銘,2023/03/10,9.87,127.18,-97.18
1316,上曜,2023/03/10,205.68,127.0,333.52
1109,信大,2023/03/10,410.95,126.24,37.9
6163,華電網,2023/03/10,757.98,125.6,285.65
6148,驊宏資,2023/03/08,42.45,124.24,-20.24
8227,巨有科技,2023/03/07,84.68,122.4,54.44
3027,盛達,2023/03/09,137.5,120.38,137.98
8931,大汽電,2023/03/09,289.35,119.46,17.24
6598,ABC-KY,2023/03/10,20.36,115.02,-33.64
5251,天鉞電,2023/03/10,11.28,114.4,-34.36
1603,華電,2023/03/08,307.45,110.33,21.84
8463,潤泰材,2023/03/10,389.68,110.17,24.81
6242,立康,2023/03/09,49.29,105.25,23.31
8996,高力,2023/03/08,254.58,104.25,-20.75
3046,建碁,2023/03/06,471.1,102.62,120.6
3693,營邦,2023/03/07,419.87,97.61,8.14
6576,逸達,2023/03/08,0.21,97.17,-99.03
3558,神準,2023/03/10,1469.03,96.54,7.45
6451,訊芯-KY,2023/03/08,415.29,95.4,-3.84
2634,漢翔,2023/03/07,3191.65,94.98,18.86
6733,博晟生醫,2023/03/08,2.69,93.66,-30.81
2495,普安,2023/03/10,121.85,92.29,6.35
2247,汎德永業,2023/03/10,3014.14,91.32,-31.76
4916,事欣科,2023/03/10,302.43,91.19,33.75
3078,僑威,2023/03/10,730.16,90.11,42.9
2809,京城銀,2023/03/02,1059.41,89.54,26.43
3285,微端,2023/03/08,82.27,89.05,52.2
2718,晶悅,2023/03/09,7.03,88.62,-4.61
6199,天品,2023/03/09,13.7,88.18,33.0
5484,慧友,2023/03/10,36.46,87.21,38.41
9945,潤泰新,2023/03/10,2778.1,87.02,66.21
3118,進階,2023/03/09,46.78,86.97,33.53
6680,鑫創電子,2023/03/06,46.61,86.59,147.53
6142,友勁,2023/03/10,339.68,85.46,-4.18
6196,帆宣,2023/03/07,4729.0,85.4,9.04
5531,鄉林,2023/03/10,114.63,84.21,7.8
8049,晶采,2023/03/08,214.31,83.83,35.69
3025,星通,2023/03/06,30.66,83.63,14.81
6470,宇智,2023/03/08,187.81,82.99,0.35
8069,元太,2023/03/08,2346.09,82.9,-8.99
2546,根基,2023/03/10,1222.46,82.52,51.2
6016,康和證,2023/03/07,421.22,82.32,26.96
4754,國碳科,2023/03/08,57.42,82.29,73.36
4153,鈺緯,2023/03/02,92.88,82.26,25.17
3492,長盛,2023/03/09,54.93,81.85,34.75
3043,科風,2023/03/09,92.95,81.84,1.15
3013,晟銘電,2023/03/09,531.65,81.65,16.33
3570,大塚,2023/03/10,140.88,80.44,19.41
6236,康呈,2023/03/09,3.64,80.36,28.48
3178,公準,2023/03/10,145.45,80.19,70.28
8104,錸寶,2023/03/08,218.78,80.13,-0.02
1752,南光,2023/03/06,166.39,80.08,0.83
3713,新晶投控,2023/03/07,51.53,79.65,122.59
8109,博大,2023/03/02,158.2,78.94,16.42
1110,東泥,2023/03/10,174.12,78.78,26.29
3288,點晶,2023/03/10,9.17,77.7,266.25
6762,達亞,2023/03/06,47.88,76.66,-19.32
6244,茂迪,2023/03/07,480.08,76.05,32.22
8426,紅木-KY,2023/03/09,158.88,76.02,2.02
3512,皇龍,2023/03/10,259.3,75.54,1376.96
2206,三陽工業,2023/03/10,4948.1,75.39,9.92
3479,安勤,2023/03/10,622.85,75.31,-5.43
8940,新天地,2023/03/03,114.62,74.95,-41.52
4572,駐龍,2023/03/10,58.57,74.09,-5.21
1524,耿鼎,2023/03/07,201.28,73.73,37.68
2371,大同,2023/03/10,3556.03,73.62,0.49
3661,世芯-KY,2023/03/10,1538.32,73.48,-5.76
8420,明揚,2023/03/07,336.27,72.63,12.5
6527,明達醫,2023/03/09,73.43,72.49,53.34
3540,曜越,2023/03/10,323.28,72.1,-10.2
1108,幸福,2023/03/10,361.75,71.74,22.67
3207,耀勝,2023/03/10,120.92,71.09,8.63
1234,黑松,2023/03/10,795.91,70.93,-23.78
8222,寶一,2023/03/09,54.27,70.92,20.14
4770,上品,2023/03/07,616.78,70.2,17.46
5276,達輝-KY,2023/03/06,71.86,70.12,5.6
4503,金雨,2023/03/10,13.51,70.09,-13.43
1104,環泥,2023/03/10,591.52,69.81,17.28
4139,馬光-KY,2023/03/08,89.53,69.35,4.54
8097,常珵,2023/03/10,56.85,69.33,-20.99
2543,皇昌,2023/03/10,727.18,69.21,47.59
1465,偉全,2023/03/07,51.75,69.17,60.78
2520,冠德,2023/03/10,2214.16,68.89,134.56
6751,智聯服務,2023/03/06,132.86,68.66,14.37
4147,中裕,2023/03/03,24.15,68.21,-3.19
5864,致和證,2023/03/07,236.5,68.11,96.0
4161,聿新科,2023/03/06,52.8,68.0,53.27
6669,緯穎,2023/03/08,22994.65,67.61,40.06
3004,豐達科,2023/03/02,225.89,67.28,8.92
5403,中菲,2023/03/08,426.29,66.87,73.06
3191,和進,2023/03/10,18.58,66.5,46.23
5703,亞都,2023/03/09,30.53,66.21,-33.46
8467,波力-KY,2023/03/09,144.61,65.67,47.69
6624,萬年清,2023/03/10,17.37,65.3,83.05
3443,創意,2023/03/06,2248.82,65.19,7.75
6641,基士德-KY,2023/03/06,128.57,65.13,73.86
4527,方土霖,2023/03/09,208.66,64.87,59.51
8050,廣積,2023/03/09,613.52,64.86,35.31
2345,智邦,2023/03/06,6111.79,64.25,-2.52
3522,御頂,2023/03/10,54.99,63.7,-50.38
2427,三商電,2023/03/09,391.95,62.25,47.04
4943,康控-KY,2023/03/09,158.92,62.13,53.69
8064,東捷,2023/03/09,281.52,61.96,2.73
4126,太醫,2023/03/06,225.41,61.36,18.64
6143,振曜,2023/03/10,565.74,61.16,10.71
5209,新鼎,2023/03/09,358.17,61.1,19.42
2739,寒舍,2023/03/10,357.8,61.03,-21.84
8921,沈氏,2023/03/09,68.26,60.74,33.75
3580,友威科,2023/03/08,60.02,60.4,283.37
