代號,名稱,rev_period,營收(百萬),yoy％,mom％
1101,台泥,* 2023/03,10183.69,2.13,39.39
1102,亞泥,* 2023/03,7037.14,-13.76,12.75
1103,嘉泥,* 2023/03,216.9,-1.61,2.77
1104,環泥,* 2023/03,680.25,14.99,15.0
1108,幸福,* 2023/03,409.0,18.34,13.06
1109,信大,* 2023/03,635.16,29.46,54.56
1110,東泥,* 2023/03,162.42,-9.25,-6.72
1201,味全,* 2023/03,1513.49,-4.81,1.58
1203,味王,* 2023/03,563.63,8.99,9.31
1210,大成,* 2023/03,8895.38,3.93,7.95
1213,大飲,* 2023/03,25.7,-15.96,-16.4
1215,卜蜂,* 2023/03,2389.17,-3.57,5.55
1216,統一,* 2023/03,43254.68,2.71,6.37
1217,愛之味,* 2023/03,395.73,2.55,28.21
1218,泰山,* 2023/03,891.94,-3.85,6.84
1219,福壽,* 2023/03,1487.41,-9.91,14.96
1220,台榮,* 2023/03,266.93,-6.58,49.48
1225,福懋油,* 2023/03,1354.37,5.85,2.13
1227,佳格,* 2023/03,1689.06,-24.91,19.53
1229,聯華,* 2023/03,959.02,-11.3,18.06
1231,聯華食,* 2023/03,830.68,2.51,12.25
1232,大統益,* 2023/03,2179.99,0.56,5.44
1233,天仁,* 2023/03,143.1,3.38,-6.79
1234,黑松,* 2023/03,727.33,13.95,-8.62
1235,興泰,* 2023/03,1.6,4.58,-6.43
1236,宏亞,* 2023/03,153.16,-6.59,39.0
1240,茂生農經,* 2023/03,277.28,1.06,15.93
1256,鮮活果汁-KY,* 2023/03,275.31,-17.38,0.15
1258,其祥-KY,* 2023/03,224.95,10.25,-2.14
1259,安心,* 2023/03,472.02,-0.62,8.22
1264,德麥,* 2023/03,445.2,4.56,16.05
1268,漢來美食,* 2023/03,307.55,-1.45,-15.66
1301,台塑,* 2023/03,20862.68,-21.2,17.95
1303,南亞,* 2023/03,27740.92,-25.03,27.0
1304,台聚,* 2023/03,5392.79,-5.92,19.65
1305,華夏,* 2023/03,1523.78,-17.44,13.83
1307,三芳,* 2023/03,1287.98,26.21,34.23
1308,亞聚,* 2023/03,746.53,4.54,31.87
1309,台達化,* 2023/03,1400.55,-14.63,16.59
1310,台苯,* 2023/03,733.24,-43.43,28.81
1312,國喬,* 2023/03,1399.62,-18.21,5.95
1313,聯成,* 2023/03,5972.9,-26.87,2.34
1314,中石化,* 2023/03,1998.32,-23.39,19.54
1315,達新,* 2023/03,220.46,-12.89,86.85
1316,上曜,* 2023/03,208.67,33.45,1.45
1319,東陽,* 2023/03,2029.73,7.38,5.1
1321,大洋,* 2023/03,553.5,-17.91,25.35
1323,永裕,* 2023/03,300.41,-19.21,22.84
1324,地球,* 2023/03,96.72,-3.13,25.92
1325,恒大,* 2023/03,49.84,19.01,49.67
1326,台化,* 2023/03,32581.68,-10.41,16.29
1336,台翰,* 2023/03,194.67,-0.39,-1.35
1337,再生-KY,* 2023/03,59.86,97.1,16.55
1338,廣華-KY,* 2023/03,574.43,-20.54,18.86
1339,昭輝,* 2023/03,175.51,9.15,1.8
1340,勝悅-KY,* 2023/03,35.83,-18.62,-18.59
1341,富林-KY,* 2023/03,332.71,-11.37,61.29
1342,八貫,* 2023/03,217.27,-1.07,46.06
1402,遠東新,* 2023/03,22288.67,-5.09,13.13
