,歆凱分組,代號,名稱,交易所主產業代碼,交易所子產業代碼,TEJ主產業代碼,TEJ子產業代碼,new_industry_name,minor_industry_name
0,0.0,1101.0,台泥,M1100,M1100,11A,11A,M1100 水泥工業,M11A 水泥製造
1,0.0,1102.0,亞泥,M1100,M1100,11A,11A,M1100 水泥工業,M11A 水泥製造
2,1.0,1210.0,大成,M1200,M1200,12B,12B,M1200 食品工業,M12B 油脂飼料
3,1.0,1215.0,卜蜂,M1200,M1200,12B,12B,M1200 食品工業,M12B 油脂飼料
4,1.0,1227.0,佳格,M1200,M1200,12Z,12Z,M1200 食品工業,M12Z 其他食品
5,1.0,1702.0,南僑,M1200,M1200,12B,12B,M1200 食品工業,M12B 油脂飼料
6,2.0,1310.0,台苯,M1300,M1300,13A,13A1,M1300 塑膠工業,M13A1 泛用塑膠
7,2.0,1314.0,中石化,M1300,M1300,13A,13A5,M1300 塑膠工業,M13A5 化纖
8,2.0,1718.0,中纖,M1700,M1721,13A,13A5,,
9,2.0,2515.0,中工,M2500,M2500,25B,25B,M2500 建材營造,M25B 營造
10,2.0,4306.0,炎洲,M1300,M1300,13A,13A9,M1300 塑膠工業,M13A9 膠帶
11,3.0,1476.0,儒鴻,M1400,M1400,14C,14C1,M1400 紡織纖維,M14C1 成衣製造
12,3.0,1477.0,聚陽,M1400,M1400,14C,14C1,M1400 紡織纖維,M14C1 成衣製造
13,3.0,9910.0,豐泰,M9900,M9900,99K,99K,M9900 其他,M99K 鞋及旅行箱
14,4.0,1513.0,中興電,M1500,M1500,15B,15B1,M1500 電機機械,M15B1 電機
15,4.0,1514.0,亞力,M1500,M1500,15B,15B1,M1500 電機機械,M15B1 電機
16,4.0,1519.0,華城,M1500,M1500,15B,15B1,M1500 電機機械,M15B1 電機
17,5.0,1319.0,東陽,M2200,M2200,15D,15D,M2200 汽車工業,M15D 汽車組件
18,5.0,1522.0,堤維西,M2200,M2200,15D,15D,M2200 汽車工業,M15D 汽車組件
19,5.0,1524.0,耿鼎,M2200,M2200,15D,15D,M2200 汽車工業,M15D 汽車組件
20,5.0,1568.0,倉佑,M2200,M2200,15D,15D,M2200 汽車工業,M15D 汽車組件
21,5.0,6605.0,帝寶,M2200,M2200,15D,15D,M2200 汽車工業,M15D 汽車組件
22,6.0,1517.0,利奇,M1500,M1500,15E,15E,M1500 電機機械,M15E 自行車組件
23,6.0,1526.0,日馳,M1500,M1500,15E,15E,M1500 電機機械,M15E 自行車組件
24,6.0,3038.0,全台,M2300,M2326,23C,23C8D,,
25,7.0,1590.0,亞德客-KY,M1500,M1500,15A,15A2,M1500 電機機械,M15A2 模具零件
26,7.0,2049.0,上銀,M1500,M1500,15A,15A2,M1500 電機機械,M15A2 模具零件
27,8.0,1701.0,中化,M1700,M1722,17C,17C1,,
28,8.0,1789.0,神隆,M1700,M1722,17C,17C1,,
29,8.0,4167.0,松瑞藥,M1700,M1722,17C,17C1,,
30,9.0,1217.0,愛之味,M1200,M1200,12A,12A,M1200 食品工業,M12A 罐頭加工
31,9.0,1714.0,和桐,M1700,M1721,17E,170,,
32,10.0,1711.0,永光,M1700,M1721,17B,17B,,
33,10.0,1721.0,三晃,M1700,M1721,17F,17F,,
34,10.0,1727.0,中華化,M1700,M1721,17Z,17Z,,
35,11.0,1773.0,勝一,M1700,M1721,17Z,17Z,,
36,11.0,4755.0,三福化,M1700,M1721,17Z,17Z,,
37,12.0,1806.0,冠軍,M1800,M1800,18,18,,
38,12.0,1809.0,中釉,M1800,M1800,18,18,,
39,12.0,1810.0,和成,M1800,M1800,18,18,,
40,12.0,2913.0,農林,M2900,M2900,29B,29B,M2900 貿易百貨,M29B 貿易業
41,13.0,1903.0,士紙,M1900,M1900,19A,19A,M1900 造紙工業,M19A 造紙
42,13.0,1904.0,正隆,M1900,M1900,19A,19A,M1900 造紙工業,M19A 造紙
43,13.0,1905.0,華紙,M1900,M1900,19B,19B,M1900 造紙工業,M19B 紙漿
44,13.0,1907.0,永豐餘,M1900,M1900,19A,19A,M1900 造紙工業,M19A 造紙
45,13.0,1909.0,榮成,M1900,M1900,19A,19A,M1900 造紙工業,M19A 造紙
46,14.0,2105.0,正新,M2100,M2100,21A,21A,M2100 橡膠工業,M21A 輪胎
47,14.0,2106.0,建大,M2100,M2100,21A,21A,M2100 橡膠工業,M21A 輪胎
48,14.0,2505.0,國揚,M2500,M2500,25A,25A,M2500 建材營造,M25A 建設
49,15.0,2108.0,南帝,M2100,M2100,21C,21C,M2100 橡膠工業,M21C 橡膠原料
50,15.0,6582.0,申豐,M2100,M2100,21C,21C,M2100 橡膠工業,M21C 橡膠原料
51,16.0,2201.0,裕隆,M2200,M2200,22A,22A,M2200 汽車工業,M22A 汽車製造
52,16.0,2204.0,中華,M2200,M2200,22A,22A,M2200 汽車工業,M22A 汽車製造
53,17.0,2323.0,中環,M2300,M2326,23C,23C4A,,
54,17.0,2349.0,錸德,M2300,M2326,23C,23C4A,,
55,17.0,2359.0,所羅門,M2300,M2331,23T,23T2,,
56,17.0,2461.0,光群雷,M2300,M2331,13A,13A8,,
57,18.0,2317.0,鴻海,M2300,M2331,23A,23A1,,
58,18.0,2328.0,廣宇,M2300,M2328,23D,23D2,,
59,18.0,2354.0,鴻準,M2300,M2331,23D,23D4,,
60,18.0,3149.0,正達,M2300,M2326,23C,23C8E,,
61,18.0,5243.0,乙盛-KY,M2300,M2326,23D,23D9A,,
62,19.0,2308.0,台達電,M2300,M2328,23D,23D3,,
63,19.0,2330.0,台積電,M2300,M2324,23G,23G1A,,
64,19.0,2454.0,聯發科,M2300,M2324,23G,23G5,,
65,19.0,3711.0,日月光投控,M2300,M2324,23G,23G2,,
66,19.0,5347.0,世界,M2300,M2324,23G,23G1A,,
67,20.0,2331.0,精英,M2300,M2325,23B,23B1,,
68,20.0,2371.0,大同,M1500,M1500,15B,15B1,M1500 電機機械,M15B1 電機
69,21.0,2337.0,旺宏,M2300,M2324,23G,23G1B,,
70,21.0,2344.0,華邦電,M2300,M2324,23G,23G1B,,
71,21.0,2408.0,南亞科,M2300,M2324,23G,23G1B,,
72,21.0,8110.0,華東,M2300,M2324,23G,23G2,,
73,22.0,2376.0,技嘉,M2300,M2325,23B,23B1,,
74,22.0,2377.0,微星,M2300,M2325,23B,23B1,,
75,23.0,2379.0,瑞昱,M2300,M2324,23G,23G5,,
76,23.0,3034.0,聯詠,M2300,M2324,23G,23G5,,
77,23.0,4966.0,譜瑞-KY,M2300,M2324,23G,23G5,,
78,24.0,2399.0,映泰,M2300,M2325,23B,23B1,,
79,24.0,2425.0,承啟,M2300,M2325,23B,23B4A,,
80,24.0,2465.0,麗臺,M2300,M2325,23B,23B4A,,
81,24.0,5386.0,青雲,M2300,M2325,23B,23B4A,,
82,24.0,6150.0,撼訊,M2300,M2325,23B,23B4A,,
83,25.0,1533.0,車王電,M2200,M2200,15D,15D,M2200 汽車工業,M15D 汽車組件
84,25.0,2415.0,錩新,M2300,M2328,23U,23U2,,
85,25.0,2497.0,怡利電,M2200,M2200,15D,15D,M2200 汽車工業,M15D 汽車組件
86,25.0,3552.0,同致,M2300,M2331,15D,15D,,
87,25.0,4939.0,亞電,M2300,M2328,23B,23B3C,,
88,26.0,2457.0,飛宏,M2300,M2328,23D,23D3,,
89,26.0,3058.0,立德,M2300,M2328,23D,23D3,,
90,26.0,6129.0,普誠,M2300,M2324,23G,23G5,,
91,27.0,2388.0,威盛,M2300,M2324,23G,23G5,,
92,27.0,2498.0,宏達電,M2300,M2327,23K,23KX,,
93,27.0,3508.0,位速,M2300,M2331,23D,23D4,,
94,27.0,6118.0,建達,M2300,M2329,23T,23T1,,
95,28.0,2603.0,長榮,M2600,M2600,26A,26A2,M2600 航運業,M26A2 貨櫃輪
96,28.0,2609.0,陽明,M2600,M2600,26A,26A2,M2600 航運業,M26A2 貨櫃輪
97,28.0,2615.0,萬海,M2600,M2600,26A,26A2,M2600 航運業,M26A2 貨櫃輪
98,28.0,2636.0,台驊投控,M2600,M2600,26C,26C,M2600 航運業,M26C 貨運倉儲業
99,28.0,5603.0,陸海,M2600,M2600,26C,26C,M2600 航運業,M26C 貨運倉儲業
100,29.0,2610.0,華航,M2600,M2600,26D,26D,M2600 航運業,M26D 空運業
101,29.0,2618.0,長榮航,M2600,M2600,26D,26D,M2600 航運業,M26D 空運業
102,30.0,2608.0,嘉里大榮,M2600,M2600,26C,26C,M2600 航運業,M26C 貨運倉儲業
103,30.0,2642.0,宅配通,M2600,M2600,26C,26C,M2600 航運業,M26C 貨運倉儲業
104,31.0,2723.0,美食-KY,M2700,M2700,27A,27A2,M2700 觀光事業,M27A2 餐飲業
105,31.0,2727.0,王品,M2700,M2700,27A,27A2,M2700 觀光事業,M27A2 餐飲業
106,31.0,2732.0,六角,M2700,M2700,27A,27A2,M2700 觀光事業,M27A2 餐飲業
107,32.0,2412.0,中華電,M2300,M2327,23K,23K3,,
108,32.0,3045.0,台灣大,M2300,M2327,23K,23K3,,
109,32.0,4904.0,遠傳,M2300,M2327,23K,23K3,,
110,33.0,3048.0,益登,M2300,M2329,23T,23T2,,
