,st_code,st_name,rev_period,rev,new_industry_name,minor_industry_name,Year,month,mom,yoy,yoy年成長大於10,yoy成長,yoy衰退,yoy近五月大於10,yoy連續大於10,yoy近五月成長,yoy連續成長,yoy近五月衰退,yoy連續衰退
172,5534,長虹,* 2023/02,351249,M2500 建材營造,M25A 建設,2023,2,150.91%,135.05%,0,1,0,0,0,2,1,3,0
155,4123,晟德,* 2023/02,56045,M1722 生技醫療,M17C1 西藥,2023,2,-48.04%,90.91%,0,1,0,0,0,2,1,3,0
157,4162,智擎,* 2023/02,25632,M1722 生技醫療,M17C1 西藥,2023,2,0.21%,61.34%,0,1,0,0,0,3,2,2,0
72,2404,漢唐,* 2023/02,2598306,M2331 其他電子業,M23H1 廠辦機電,2023,2,-42.32%,48.98%,0,0,1,0,0,1,0,4,2
200,8069,元太,* 2023/02,1668983,M2326 光電業,M23C8A LCD 面板,2023,2,-35.26%,30.11%,0,1,0,0,0,3,1,2,0
21,1707,葡萄王,* 2023/02,627769,M1722 生技醫療,M17C2 機能性食品,2023,2,-7.65%,29.79%,0,1,0,0,0,2,1,3,0
129,3081,聯亞,* 2023/02,190827,M2327 通信網路業,M23G3A 化合物SEMI,2023,2,86.77%,27.10%,0,1,0,0,0,2,1,3,0
16,1536,和大,* 2023/02,532077,M2200 汽車工業,M15D 汽車組件,2023,2,-21.45%,22.31%,0,0,1,0,0,2,0,3,1
154,3706,神達,* 2023/02,3468625,M2325 電腦及週邊,M23A1 EMS,2023,2,30.27%,19.17%,0,1,0,0,0,3,1,2,0
53,2345,智邦,* 2023/02,4427266,M2327 通信網路業,M23E2 網路卡,2023,2,-29.38%,18.98%,0,0,1,0,0,1,0,4,2
193,6462,神盾,* 2023/02,265085,M2324 半導體,M23G5 IC設計,2023,2,3.73%,18.13%,0,1,0,0,0,3,1,2,0
103,2880,華南金,* 2023/02,3957419,M2800 金融業,M28L 金融控股,2023,2,-17.84%,17.73%,0,1,0,0,0,3,3,2,0
23,1718,中纖,* 2023/02,2675501,M1721 化學工業,M13A5 化纖,2023,2,-2.38%,16.55%,0,1,0,0,0,4,2,1,0
158,4736,泰博,* 2023/02,560393,M1722 生技醫療,M17G 醫療耗材,2023,2,-18.03%,16.30%,0,1,0,0,0,3,1,2,0
62,2371,大同,* 2023/02,2374171,M1500 電機機械,M15B1 電機,2023,2,-32.90%,15.92%,0,0,1,0,0,1,0,4,4
93,2605,新興,* 2023/02,260405,M2600 航運業,M26A1 散裝輪,2023,2,-37.93%,15.57%,0,0,1,0,0,3,0,2,1
163,5009,榮剛,* 2023/02,848271,M2000 鋼鐵工業,M20A6 不鏽鋼,2023,2,-14.46%,14.69%,0,0,1,0,0,2,0,3,2
174,5880,合庫金,* 2023/02,3926174,M2800 金融業,M28L 金融控股,2023,2,-13.19%,13.65%,0,1,0,0,0,4,2,1,0
