,,,,,,,,,,,,,
,代號,名稱,年月,營業收入淨額q,累計每股盈餘est,"eps
成長","eps
衰退","eps
近五月
成長","eps
連續
成長","eps
近五月
衰退","eps
連續
衰退",TEJ  產業別,TEJ 子產業別
1,3008,大立光,2022/12,14458.6,186.3,1,0,3,2,2,0,M2326 光電業,M23U1 光學鏡頭
2,2603,長榮,2022/12,110885.2,94.58,0,1,3,0,2,1,M2600 航運業,M26A2 貨櫃輪
3,6669,緯穎,2022/12,87439.4,84.67,1,0,4,3,1,0,M2325 電腦及週邊,M23A2 泛用電腦
4,2454,聯發科,2022/12,108194.1,74.99,0,1,3,0,2,2,M2324 半導體,M23G5 IC設計
5,3533,嘉澤,2022/12,7042,59.86,0,1,4,0,1,1,M2328 電子零組件,M23D2 連接器
6,4966,譜瑞-KY,2022/12,3185.4,59.53,0,1,3,0,2,2,M2324 半導體,M23G5 IC設計
7,5274,信驊,2022/12,1326.7,57.9,1,0,4,1,1,0,M2324 半導體,M23G5 IC設計
8,2609,陽明,2022/12,59962.1,51.67,0,1,3,0,2,2,M2600 航運業,M26A2 貨櫃輪
9,6409,旭隼,2022/12,5698,50.24,0,1,3,0,2,1,M2331 其他電子業,M23D3 電源供應器
10,3293,鈊象,2022/12,3167,48.22,1,0,3,2,2,0,M3200 文化創意業,M23X2 遊戲軟體
11,3034,聯詠,2022/12,22420.2,47.33,1,0,1,1,4,0,M2324 半導體,M23G5 IC設計
12,2327,國巨,2022/12,28808.5,46.45,0,1,3,0,2,1,M2328 電子零組件,M23D5 被動元件
13,2059,川湖,2022/12,1988.2,45.63,0,1,3,0,2,1,M2328 電子零組件,M20B 金屬製品
14,6121,新普,2022/12,24797,41.6,1,0,3,3,2,0,M2325 電腦及週邊,M23D7 二次電池
15,5269,祥碩,2022/12,1007.8,40.4,0,1,2,0,3,2,M2324 半導體,M23G5 IC設計
16,2330,台積電,2022/12,625531.9,37.8,1,0,5,8,0,0,M2324 半導體,M23G1A 晶圓代工
17,6781,AES-KY,2022/12,3427.3,37.66,0,1,1,0,1,1,M2328 電子零組件,M23D7 二次電池
18,2379,瑞昱,2022/12,21762.1,35.99,1,0,3,1,2,0,M2324 半導體,M23G5 IC設計
19,2615,萬海,2022/12,39434,33.63,0,1,2,0,3,3,M2600 航運業,M26A2 貨櫃輪
20,6515,穎崴,2022/12,1709.2,32.16,1,0,4,3,1,0,M2324 半導體,M23B3X PCB材-其他
21,3406,玉晶光,2022/12,5750.2,31.95,0,1,1,0,4,1,M2326 光電業,M23U1 光學鏡頭
22,6488,環球晶,2022/12,18387.8,31.62,0,1,3,0,2,2,M2324 半導體,M23G3C 晶圓材料
23,2357,華碩,2022/12,127075.4,31.53,0,1,1,0,4,1,M2325 電腦及週邊,M23A3 PC品牌
24,2915,潤泰全,2022/12,658.1,31.45,1,0,3,1,2,0,M2900 貿易百貨,M29A2 量販
25,1590,亞德客-KY,2022/12,6264.5,31.22,1,0,3,1,2,0,M1500 電機機械,M15A2 模具零件
26,8046,南電,2022/12,17704,31.13,0,1,3,0,2,1,M2328 電子零組件,M23B2A IC載板
27,8016,矽創,2022/12,3831.4,30.99,0,1,0,0,5,5,M2324 半導體,M23G5 IC設計
28,3443,創意,2022/12,8082.9,27.97,1,0,4,3,1,0,M2324 半導體,M23G5 IC設計
29,3413,京鼎,2022/12,4181.2,27.77,1,0,2,1,3,0,M2324 半導體,M23H2 電機設備
30,8299,群聯,2022/12,12290.3,27.52,0,1,1,0,4,4,M2324 半導體,M23G5 IC設計
31,3131,弘塑,2022/12,1012.3,27.51,1,0,3,2,2,0,M2331 其他電子業,M23H2 電機設備
32,2404,漢唐,2023/01,18385.1,27.03,1,0,4,3,1,0,M2331 其他電子業,M23H1 廠辦機電
33,3665,貿聯-KY,2023/01,13521.9,26.12,0,1,3,0,2,1,M2331 其他電子業,M23D2 連接器
34,3661,世芯-KY,2023/01,4630.8,26.07,0,1,3,0,2,1,M2324 半導體,M23G5 IC設計
35,1476,儒鴻,2023/01,7628.4,25.16,0,1,2,0,3,2,M1400 紡織纖維,M14C1 成衣製造
36,6510,精測,2023/01,1145.8,24.57,0,1,3,0,2,1,M2324 半導體,M23B2D 硬板及其他
37,3611,鼎翰,2023/01,2185.2,24.49,1,0,2,2,3,0,M2325 電腦及週邊,M23B5A POS
38,8081,致新,2023/01,1712.8,24.33,0,1,1,0,4,3,M2324 半導體,M23G5 IC設計
39,3558,神準,2023/01,5375.4,21.99,1,0,4,1,1,0,M2327 通信網路業,M23E1 數據機
40,3529,力旺,2023/01,902.7,21.62,1,0,4,1,1,0,M2324 半導體,M23G5 IC設計
41,6414,樺漢,2023/01,37326.6,21.53,1,0,4,3,1,0,M2325 電腦及週邊,M23B5B 工業電腦
42,5289,宜鼎,2023/01,2286.6,21.43,1,0,3,1,2,0,M2325 電腦及週邊,M23G3B 記憶體模組
43,3037,欣興,2023/01,36689.7,21.25,0,1,4,0,1,1,M2328 電子零組件,M23B2D 硬板及其他
44,3653,健策,2023/01,3422.6,20.13,0,1,3,0,2,1,M2328 電子零組件,M23D9B 散熱零組件
45,4763,材料-KY,2023/01,1229.6,20.08,1,0,4,3,1,0,M1721 化學工業,M17Z 其他化學
46,5904,寶雅,2023/01,5139.9,19.87,0,1,2,0,3,1,M2900 貿易百貨,M29A9 其他零售
47,2474,可成,2023/01,6657.4,19.18,1,0,3,2,2,0,M2331 其他電子業,M23D4 機殼
