代碼,new_industry,產業英文簡稱
M11    ,水泥,Cement
M11A    ,水泥製造,Cement Manufacturing
M11B    ,預拌混凝土,Ready-mixed Concrete
M11C    ,其他水泥,Other Cement
M11X    ,水泥買賣,Cement Transaction
M12    ,食品,Food Products
M12A    ,罐頭加工,Cannedfood Manufacturing
M12B    ,油脂飼料,Feed & Oil
M12C    ,飲料乳品,Dairy & Beverage
M12Y    ,食品買賣,Food Transaction
M12Z    ,其他食品,Other Food Products
M13    ,石化塑膠,Petrochemical & Rubber
M13A    ,石化,Petrochemical
M13B    ,塑膠製品,Plastic Products
M13C    ,輕油製解,Naphtha Cracking
M14    ,紡織人纖,Textile & Synthetic Fiber
M14A    ,人纖,Synthetic Fiber
M14B    ,棉紡,Cotton & Blends
M14C    ,成衣,Garment
M14D    ,毛紡,Wool & Blends
M14E    ,染整,Yarn-Dyeing
M14F    ,不織布,Unwoven Fabric
M14Z    ,其他紡織,Other Textiles
M15    ,機電設備,Mechanical Electronics
M15A    ,機械業,Machinery
M15B    ,電機製品,Electrical Products
M15C    ,家電製品,Household Appliance
M15D    ,汽車組件,Motor Components
M15E    ,自行車組件,Bicycle Accessories
M15H    ,儀器設備,Instrument & Equipment
M15Z    ,其他電製品,Other Electric Products
M16    ,電線,Electric Wire
M17    ,化學,Chemical
M17B    ,染料及顏料,Dyes & Pigments
M17C    ,藥,Pharmaceutical
M17E    ,清潔劑,Detergents
M17F    ,樹脂,Resin
M17G    ,醫療耗材,Medical Supplies
M17H    ,生物科技,Biotechnology
M17X    ,藥局,Pharmacy
M17Y    ,化學進出口,Chemical Import/Export
M17Z    ,其他化學,Other Chemicals
M18    ,玻璃陶瓷,Ceramic & Glass
M19    ,造紙,Papermaking
M19A    ,造紙,Paper Products
M19B    ,紙漿,Pulp
M20    ,鋼鐵,Iron & Steel
M20A    ,金屬基本,Metal
M20B    ,金屬製品,Metal Products
M21    ,橡膠輪胎,Rubber & Tire
M21A    ,輪胎,Tire
M21B    ,橡膠,Rubber
M21C    ,橡膠原料,Rubber Materials
M22    ,汽車,Automobile
M22A    ,汽車製造,Auto Manufacturer
M22B    ,機車船製造,Motorcycle/Ship Manufacturer
M22X    ,汽車買賣,Auto Commerce
M23    ,資訊,Information
M23A    ,PC系統,Computer System
M23B    ,主機板,Motherboard
M23C    ,光電/ IO,Optoelectronics/IO
M23D    ,電子零組件,Electronic Components
M23E    ,網路設備,Network Equipment
M23G    ,半導體,Semiconductor
M23H    ,電子設備,Electronic Instruments
M23K    ,通訊設備,Communication Apparatus
M23T    ,資訊通路,IT Channel
M23U    ,消費性電子,Consumer Electronics
M23X    ,軟體服務,Software Service
M23Z    ,其他電子,Other Electronics
M25     ,營建,Construction & Building
M25A    ,建設,Construction
M25B    ,營造,Construction Contractor
M25C    ,工程承攬,Engineering Contractor
M25D    ,仲介建經,Realty Agency
M25E    ,靈骨塔業,Cemetery
M25F    ,物業管理,Supply Chain Management
M26    ,運輸,Transportation-All
M26A    ,海運,Sea Transportation
M26B    ,陸運業,Land Transportation
M26C    ,貨運倉儲業,Warehouse/Carrier
M26D    ,空運業,Air Freight Forwarder
M26E    ,其他運輸業,Other Transportation
M26F    ,港務局,Port Office
M26G    ,運輸設施,Transportation Systems
M27    ,觀光,Tourism
M27A    ,餐飲飯店,Restaurant & Hotel
M27B    ,觀光遊樂區,Amusement Park
M27C    ,旅行社,Travel Agency
M28    ,銀行保險,Bank & Insurance
M28A    ,本國銀行,Local Bank
M28B    ,外國銀行,Foreign Bank
M28C    ,信合社,Credit Cooperative
M28D    ,農會信用,Farmer's Association
M28E    ,信託公司,Trust Company
M28F    ,票券公司,Bill Finance Corp.
M28G    ,證金公司,Securities & Financing
M28H    ,其他金融業,Other Banking
M28I    ,壽險業,Life Insurance
M28J    ,產險業,Realty Insurance
M28K    ,租賃業,Lease/Rental
M28L    ,金融控股,Financial Holdings
M28M    ,信用卡,Credit Card
M28N    ,保險經紀,Assurance Broker
M28O    ,漁會,Fishery Association
M28P    ,陸資銀行,China Bank
M28Q    ,Ins. Agent,Insurance Agent
M28R    ,電子支付,Pay Online
M28S    ,專營電子票證,Electronic Ticket
M29    ,百貨,General Merchandise
M29A    ,百貨批發,Merchandise/Wholesale
M29B    ,貿易業,Commerce
M29C    ,書局連鎖,Chain Bookstore
M29D    ,直銷,Direct Sales
M30    ,證券期貨,Securities & Futures
M30A    ,證券,Securities
M30B    ,投顧,Investment Consultant
M30C    ,期貨,Futures
M30Z    ,其他證券,Other Securities
M31    ,投資業,Investment
M31A    ,投信業,Investment & Trust
M31B    ,創投業,Venture Capital
M31C    ,投資業,Investment
M31D    ,控股公司,Holding Company
M31E    ,期貨信託,Future Trust
M42A    ,會計事務所,Certified Public Accountant
M98    ,綜合類,Comprehensive Industries
M99    ,其它,Other
M99A    ,皮革,Leather
M99B    ,家用五金及家具,Household hardware & Furniture
M99C    ,印刷,Printing
M99D    ,公用事業,Public Utility
M99E    ,廣告業,Advertising
M99F    ,平媒電子報,Media & E-Paper
M99G    ,有線電視,Cable TV
M99H    ,電視廣播,Broadcasting
M99I    ,保全業,Security Guard
M99J    ,學校,School
M99K    ,鞋及旅行箱,Shoes & Suitcases
M99Z    ,其他,Others
